"Lines","Long","Lat","crop","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","PC1","PC2","PC3"
"SEEDGWAS3426:MRG:4:250064354",-39.26666667,-11.55,"maize",23.2502288818359,9.99787521362305,69.8602523803711,167.194671630859,30.6117496490479,16.300500869751,14.3112487792969,24.9268341064453,22.14670753479,24.9305000305176,20.9551658630371,623,72,23,33.953254699707,207,76,206,122,-1.3240162110415,0.391381345363943,-0.613611702929308
"SEEDGWAS3427:MRG:4:250064355",-39.26666667,-11.55,"maize",23.2502288818359,9.99787521362305,69.8602523803711,167.194671630859,30.6117496490479,16.300500869751,14.3112487792969,24.9268341064453,22.14670753479,24.9305000305176,20.9551658630371,623,72,23,33.953254699707,207,76,206,122,-1.3240162110415,0.391381345363943,-0.613611702929308
"SEEDGWAS3428:MRG:4:250064356",-37.06666667,-8.416666667,"maize",21.9830722808838,9.83152103424072,71.3178405761719,145.458023071289,29.2744998931885,15.4890003204346,13.7854995727539,22.7251663208008,22.2566261291504,23.543083190918,20.0972919464111,697,130,15,63.1244201660156,321,56,105,167,-1.00499447846763,0.240117140515022,0.529726704469483
"SEEDGWAS343:MRG:4:250059094",-105.1666667,21.2,"maize",25.5997333526611,12.1273632049561,65.3329010009766,267.27294921875,33.503547668457,14.9411344528198,18.5624122619629,28.3686752319336,24.207447052002,28.3686752319336,22.2016544342041,1511,401,1,127.070907592773,1143,13,1143,42,-4.24953474619443,2.11295768453415,1.14835591545631
"SEEDGWAS3435:MRG:4:250064361",-81.980232,8.258527,"maize",26.5660648345947,8.41722297668457,74.0409545898438,66.3910217285156,32.6238899230957,21.2555561065674,11.3683338165283,25.9261569976807,26.8127326965332,27.5043983459473,25.8300933837891,3051,521,31,65.6210327148438,1294,117,530,1037,-8.19139590250706,-1.52052451890033,1.67101874702868
"SEEDGWAS3436:MRG:4:250064362",-82.000377,8.31586,"maize",26.635763168335,8.26197910308838,74.353157043457,66.0404815673828,32.5600700378418,21.448263168335,11.1118068695068,25.9887161254883,26.958101272583,27.5695018768311,25.9054985046387,3064,512,32,65.3793106079102,1314,126,523,1066,-8.30766662052707,-1.60470025984291,1.64019424140437
"SEEDGWAS3447:MRG:4:250064369",-99.816363,22.05427,"maize",21.4242706298828,15.0203332901001,59.2337036132812,326.260009765625,33.8742485046387,8.51650047302246,25.3577480316162,23.613374710083,18.3886661529541,24.8747501373291,16.9854583740234,491,101,7,80.8158950805664,253,31,191,34,1.38395662176583,1.94345806004159,-1.45749916829639
"SEEDGWAS345:MRG:4:250059095",-53.960459,-27.580314,"maize",19.2553539276123,12.2463331222534,54.2851982116699,389.575531005859,30.3055000305176,7.74625015258789,22.5592498779297,19.4418334960938,15.4692497253418,23.8698749542236,14.4865837097168,1840,191,133,10.0582284927368,489,425,459,431,-1.48753850072252,-4.38314457463143,-4.45316782052883
"SEEDGWAS3451:MRG:4:250064372",-97.28339,16.233634,"maize",19.7450103759766,11.9732294082642,74.3944549560547,110.673187255859,27.2884998321533,11.1942501068115,16.0942497253418,20.5090827941895,18.7851657867432,20.9282913208008,18.2276248931885,1486,305,10,97.8596572875977,811,35,476,35,-1.14499137516183,-0.608033750302633,2.60885435062897
"SEEDGWAS3452:MRG:4:250064373",-96.172744,17.186388,"maize",18.685791015625,11.4741249084473,63.8364601135254,177.359039306641,27.7682495117188,9.79399967193604,17.974250793457,19.1590824127197,17.5500831604004,20.8977508544922,16.4419994354248,1752,308,33,78.907829284668,895,106,428,189,-1.16660251169967,-1.81993529293317,1.02540485568407
"SEEDGWAS3453:MRG:4:250064374",-96.172744,17.186388,"maize",18.685791015625,11.4741249084473,63.8364601135254,177.359039306641,27.7682495117188,9.79399967193604,17.974250793457,19.1590824127197,17.5500831604004,20.8977508544922,16.4419994354248,1752,308,33,78.907829284668,895,106,428,189,-1.16660251169967,-1.81993529293317,1.02540485568407
"SEEDGWAS3454:MRG:4:250069650",-58.13333333,-32.68333333,"maize",18.0079174041748,11.4260416030884,45.5465774536133,485.936187744141,31.418249130249,6.33174991607666,25.086498260498,23.6345405578613,12.7446670532227,23.9704170227051,12.0207920074463,1133,123,67,22.550838470459,349,212,311,212,0.872643472292945,-1.77594924187121,-4.44369137826656
"SEEDGWAS3462:MRG:4:250064379",-54.048978,-32.087201,"maize",17.882417678833,10.9762086868286,47.7802925109863,445.468994140625,29.9815006256104,7.00925016403198,22.9722499847412,13.3635005950928,22.1998329162598,23.3039169311523,12.4080419540405,1314,126,88,9.63550758361816,352,299,324,345,0.102688847576071,-3.41045117817034,-4.20566946092496
"SEEDGWAS348:MRG:4:250059096",-47.28333333,-20.63333333,"maize",20.2085094451904,10.0275630950928,62.5335235595703,199.530502319336,26.6504993438721,10.6149997711182,16.0354995727539,21.9496669769287,17.4571666717529,22.0546245574951,17.3893337249756,1569,285,19,75.7218017578125,782,62,716,91,-1.5570136736972,-1.31615009800675,0.895265456887908
"SEEDGWAS349:MRG:4:250059097",-47.06666667,-21.76666667,"maize",21.04123878479,12.2905626296997,64.7604522705078,232.106201171875,28.7604999542236,9.7819995880127,18.9785003662109,23.2251663208008,17.9143333435059,23.249584197998,17.8066673278809,1300,235,17,75.0114898681641,644,72,595,84,-0.95009800920558,-0.334280449008041,0.280009191046704
"SEEDGWAS3494:MRG:4:250064423",-106.35,26.96666667,"maize",17.4732494354248,18.2813339233398,56.563533782959,481.421905517578,33.5654983520508,1.24549996852875,32.3199996948242,21.9807510375977,17.9294166564941,23.054708480835,11.3369998931885,588,157,7,109.022102355957,399,26,364,53,3.03565629171956,1.74007369446831,-1.72142091458474
"SEEDGWAS3495:MRG:4:250069672",-103.7373,22.394537,"maize",18.9632396697998,18.6870212554932,62.843620300293,344.868774414062,33.211498260498,3.47574996948242,29.7357482910156,22.3935832977295,17.478458404541,22.7857494354248,14.4225416183472,617,159,2,109.580490112305,403,16,268,54,2.45597684383255,1.92379825923045,-0.571205734382349
"SEEDGWAS3496:MRG:4:250064424",-104.129818,21.386317,"maize",19.4568023681641,16.7388553619385,64.8836822509766,246.793228149414,32.2862510681152,6.48799991607666,25.7982521057129,21.6590003967285,18.5955009460449,22.170166015625,16.1380424499512,932,248,4,115.873153686523,626,18,428,51,0.899124784599981,1.30207362959614,0.672813691341066
"SEEDGWAS3497:MRG:4:250069673",-104.088629,21.696608,"maize",21.7281455993652,18.0588340759277,63.9539375305176,297.107574462891,35.4692497253418,7.23199987411499,28.2372493743896,24.4981250762939,20.5886249542236,24.941499710083,17.7278747558594,820,215,3,116.26033782959,554,16,368,51,0.63073354415135,2.69012393390563,-0.271241638838675
"SEEDGWAS3499:MRG:4:250064425",-104.693768,25.114238,"maize",16.6255531311035,18.6618137359619,61.1647109985352,409.265228271484,31.0957508087158,0.584999978542328,30.5107517242432,20.2280426025391,14.7216663360596,21.2266254425049,11.3227920532227,516,124,4,108.217926025391,346,13,315,30,3.73365239542144,1.12171755517084,-0.802721440672963
"SEEDGWAS350:MRG:4:250059098",-47.210516,-22.612407,"maize",20.3904800415039,11.2785415649414,62.9426803588867,245.405456542969,27.9432506561279,10.0244998931885,17.9187507629395,22.890417098999,17.0976657867432,22.9177513122559,17.0976657867432,1262,235,22,72.4143218994141,636,86,582,86,-0.870873857338887,-0.77301351323328,0.10597669195189
"SEEDGWAS352:MRG:4:250059099",-47.71666667,-23.11666667,"maize",20.4734382629395,10.9880828857422,62.497989654541,245.15771484375,28.20924949646,10.6277503967285,17.5814990997314,23.0886669158936,17.2384586334229,23.1086654663086,17.2384586334229,1162,210,28,66.3713455200195,565,95,511,95,-0.803534780441858,-0.786945639343858,-0.228827074798833
"SEEDGWAS353:MRG:4:250059101",-50.5,-21.93333333,"maize",21.3763236999512,12.1833963394165,62.4173355102539,271.755523681641,29.9367504119873,10.4174995422363,19.519250869751,24.2662925720215,17.9407501220703,24.2662925720215,17.6957092285156,1225,204,27,60.7589454650879,571,111,571,149,-1.11150798774812,-0.414523604806179,-0.771879344608092
"SEEDGWAS354:MRG:4:250059102",-46.63333333,-23.55,"maize",18.8772392272949,9.53560447692871,58.3574256896973,238.57453918457,26.5922508239746,10.2522497177124,16.3400001525879,21.6860008239746,15.9706249237061,21.7498340606689,15.9706249237061,1505,246,42,58.5632629394531,676,141,651,141,-1.22003100033551,-2.24849542807249,-0.369987721356634
"SEEDGWAS3556:MRG:4:250069677",-58.21666667,-33.55,"maize",17.5110721588135,11.7123956680298,46.1563148498535,491.862152099609,31.1525001525879,5.77699995040894,25.3754997253418,23.1076259613037,11.4898748397827,23.585916519165,11.4898748397827,1015,117,55,21.7313671112061,310,177,282,177,1.4575736444352,-1.57998664651743,-4.18876410632953
"SEEDGWAS357:MRG:4:250059104",-79.458073,0.320806,"maize",24.9454898834229,7.88381195068359,80.1689300537109,59.8477401733398,30.0769996643066,20.2430000305176,9.83399963378906,25.6371669769287,24.3545417785645,25.6599578857422,24.2982921600342,2353,452,47,74.3938674926758,1169,169,1039,190,-6.78180503830394,-1.4232065290481,2.270934300426
"SEEDGWAS3592:MRG:4:250069707",-57.461415,-32.777781,"maize",18.1404895782471,12.0278959274292,46.2215805053711,491.492736816406,32.0077514648438,5.9854998588562,26.0222511291504,23.7074165344238,12.1456670761108,24.1425838470459,12.1456670761108,1252,144,83,17.721004486084,387,256,347,256,0.537035130858482,-2.18055294842959,-4.79196812345741
"SEEDGWAS3594:MRG:4:250069709",-100.8666667,21.46666667,"maize",16.9448013305664,16.1710624694824,64.7140197753906,261.479919433594,29.1669998168945,4.17850017547607,24.9884986877441,19.0797500610352,14.6744995117188,19.84983253479,13.4733333587646,445,92,7,83.1598815917969,242,26,132,29,3.20857193445986,0.250164780397936,-0.0622372469085078
"SEEDGWAS3595:MRG:4:250069710",-106.164976,28.006516,"maize",17.181396484375,17.6922492980957,53.022403717041,550.172668457031,33.5412483215332,0.173749998211861,33.3674964904785,22.4202499389648,11.6020832061768,23.6764163970947,10.2127084732056,445,119,4,115.054740905762,322,18,264,23,4.10455912495847,1.84184218940668,-2.31268852062582
"SEEDGWAS3596:MRG:4:250064468",-103.727387,19.650273,"maize",19.740478515625,15.5195827484131,66.2444458007812,198.6865234375,30.8584995269775,7.43074989318848,23.4277496337891,21.2074165344238,18.675666809082,21.8530426025391,17.0189170837402,957,212,5,102.314117431641,585,19,400,60,0.65472948798685,0.822669778632819,0.868320277175912
"SEEDGWAS3597:MRG:4:250064470",-100.7333333,20.03333333,"maize",17.908353805542,17.1036243438721,66.1712951660156,232.025833129883,30.4732494354248,4.62575006484985,25.8474998474121,19.0270004272461,17.7196674346924,20.6014995574951,14.842583656311,722,171,7,105.487510681152,454,24,169,29,2.31217926588479,0.792699110034973,0.640386195491946
"SEEDGWAS3598:MRG:4:250064472",-100.7333333,20.03333333,"maize",17.908353805542,17.1036243438721,66.1712951660156,232.025833129883,30.4732494354248,4.62575006484985,25.8474998474121,19.0270004272461,17.7196674346924,20.6014995574951,14.842583656311,722,171,7,105.487510681152,454,24,169,29,2.31217926588479,0.792699110034973,0.640386195491946
"SEEDGWAS3599:MRG:4:250069711",-99.863566,18.363636,"maize",21.6108131408691,14.1909170150757,66.0211486816406,165.052932739258,33.015251159668,11.5207500457764,21.4945011138916,21.9177494049072,20.8201675415039,23.8640823364258,19.8152084350586,1160,240,3,108.481773376465,710,15,318,37,-0.62307595389275,1.50703703013198,1.1131410744059
"SEEDGWAS3600:MRG:4:250064473",-97.11666667,19.35,"maize",14.2605628967285,11.4541664123535,64.3836135864258,186.166137695312,22.7975006103516,5.00699996948242,17.7905006408691,15.3383750915527,12.4969577789307,16.2692489624023,11.7005414962769,1305,237,37,68.736457824707,614,118,336,126,1.49377282052666,-3.47754816758547,1.14829053836707
