species,gene,pvalue
Arabidopsis,AT4G18380,0.0004011197
Arabidopsis,AT5G61140,0.0004049338
Arabidopsis,AT4G21020,0.000405311
Arabidopsis,AT4G14490,0.0004097305
Arabidopsis,AT4G14548,0.0004097305
Arabidopsis,AT2G28650,0.0004120022
Arabidopsis,AT4G34530,0.000412593
Arabidopsis,AT1G77870,0.0004130761
Arabidopsis,AT5G01260,0.0004145867
Arabidopsis,AT5G51820,0.000417524
Arabidopsis,AT5G44530,0.000420256
Arabidopsis,AT2G17510,0.0004216956
Arabidopsis,AT4G25070,0.0004233211
Arabidopsis,AT4G05130,0.0004248954
Arabidopsis,AT5G16810,0.0004250351
Arabidopsis,AT1G18530,0.0004263416
Arabidopsis,AT5G15460,0.0004264432
Arabidopsis,AT2G07120,0.0004288261
Arabidopsis,AT4G30460,0.0004292927
Arabidopsis,AT4G16860,0.0004302425
Arabidopsis,AT4G30510,0.0004304405
Arabidopsis,AT3G19170,0.0004339762
Arabidopsis,AT5G16700,0.0004347486
Arabidopsis,AT1G52600,0.0004350441
Arabidopsis,AT3G17609,0.0004365278
Arabidopsis,AT3G17620,0.0004365278
Arabidopsis,AT3G17700,0.0004365278
Arabidopsis,AT2G17740,0.0004405672
Arabidopsis,AT3G17600,0.0004414745
Arabidopsis,AT1G16470,0.0004433664
Arabidopsis,AT1G16490,0.0004433664
Arabidopsis,AT5G15320,0.000448421
Arabidopsis,AT4G26020,0.0004498014
Arabidopsis,AT5G64320,0.0004578474
Arabidopsis,AT1G52450,0.0004580373
Arabidopsis,AT5G16320,0.000459472
Arabidopsis,AT4G30120,0.0004599537
Arabidopsis,AT4G11720,0.0004608737
Arabidopsis,AT5G29807,0.0004646637
Arabidopsis,AT1G03100,0.0004660292
Arabidopsis,AT3G61410,0.0004749717
Arabidopsis,AT5G62390,0.0004775067
Arabidopsis,AT1G02360,0.0004792601
Arabidopsis,AT5G16750,0.0004810886
Arabidopsis,AT3G17980,0.000481457
Arabidopsis,AT3G17710,0.0004862536
Arabidopsis,AT4G18250,0.0004888219
Arabidopsis,AT5G62890,0.0004900627
Arabidopsis,AT4G13195,0.0004918556
Arabidopsis,AT5G65450,0.000495971
Arabidopsis,AT5G07940,0.0004962294
Arabidopsis,AT5G07980,0.0004962294
Arabidopsis,AT5G10470,0.0004997104
Arabidopsis,AT5G08695,0.0004999463
Arabidopsis,AT5G60010,0.0005013991
Arabidopsis,AT1G15430,0.0005024249
Arabidopsis,AT1G15440,0.0005024249
Arabidopsis,AT1G15450,0.0005024249
Arabidopsis,AT5G49220,0.0005029248
Arabidopsis,AT5G62430,0.0005074873
Arabidopsis,AT3G23300,0.0005077931
Arabidopsis,AT1G04580,0.0005096361
Arabidopsis,AT5G50780,0.0005104044
Arabidopsis,AT5G62670,0.0005106795
Arabidopsis,AT4G12510,0.0005117616
Arabidopsis,AT5G57180,0.0005150517
Arabidopsis,AT1G29940,0.0005172685
Arabidopsis,AT1G52060,0.0005184978
Arabidopsis,AT1G28340,0.0005188452
Arabidopsis,AT5G02250,0.0005201538
Arabidopsis,AT5G07360,0.0005205053
Arabidopsis,AT5G07370,0.0005205053
Arabidopsis,AT4G17900,0.0005205424
Arabidopsis,AT5G09420,0.0005216645
Arabidopsis,AT3G17205,0.0005241482
Arabidopsis,AT3G17225,0.0005241482
Arabidopsis,AT5G07480,0.0005296658
Arabidopsis,AT5G07490,0.0005296658
Arabidopsis,AT5G61200,0.0005302518
Arabidopsis,AT4G18230,0.0005311256
Arabidopsis,AT2G16300,0.0005313965
Arabidopsis,AT4G02070,0.0005314714
Arabidopsis,AT5G01290,0.0005334882
Arabidopsis,AT2G14120,0.0005342903
Arabidopsis,AT1G51270,0.0005348337
Arabidopsis,AT1G07025,0.0005385819
Arabidopsis,AT1G07030,0.0005385819
Arabidopsis,AT1G02790,0.0005406555
Arabidopsis,AT3G52560,0.0005419097
Arabidopsis,AT3G62180,0.0005442311
Arabidopsis,AT2G20450,0.0005443514
Arabidopsis,AT2G20510,0.0005443514
