GO biological process complete	Oryza sativa - REFLIST (43658)	upload_1 (343)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
macromolecule catabolic process (GO:0009057)	873	14	6.86	+	2.04	1.08E-02
signaling (GO:0023052)	1518	24	11.93	+	2.01	1.50E-03
signal transduction (GO:0007165)	1518	24	11.93	+	2.01	1.50E-03
cell communication (GO:0007154)	1522	24	11.96	+	2.01	1.53E-03
biological regulation (GO:0065007)	4636	72	36.42	+	1.98	1.67E-08
establishment of protein localization (GO:0045184)	662	10	5.2	+	1.92	4.31E-02
regulation of cellular process (GO:0050794)	4199	62	32.99	+	1.88	1.24E-06
regulation of biological process (GO:0050789)	4414	65	34.68	+	1.87	8.22E-07
macromolecule metabolic process (GO:0043170)	4622	68	36.31	+	1.87	3.58E-07
proteolysis (GO:0006508)	1037	15	8.15	+	1.84	2.95E-02
establishment of localization (GO:0051234)	2437	35	19.15	+	1.83	5.60E-04
transport (GO:0006810)	2344	33	18.42	+	1.79	1.54E-03
transmembrane transport (GO:0055085)	1436	20	11.28	+	1.77	1.38E-02
localization (GO:0051179)	2520	35	19.8	+	1.77	1.05E-03
cellular response to stimulus (GO:0051716)	2292	31	18.01	+	1.72	3.28E-03
regulation of biosynthetic process (GO:0009889)	2475	33	19.44	+	1.7	3.12E-03
regulation of metabolic process (GO:0019222)	2630	35	20.66	+	1.69	2.76E-03
protein metabolic process (GO:0019538)	2395	31	18.82	+	1.65	6.02E-03
regulation of primary metabolic process (GO:0080090)	2328	30	18.29	+	1.64	7.63E-03
regulation of macromolecule metabolic process (GO:0060255)	2561	33	20.12	+	1.64	5.31E-03
regulation of nucleobase-containing compound metabolic process (GO:0019219)	2098	27	16.48	+	1.64	1.50E-02
biosynthetic process (GO:0009058)	3662	47	28.77	+	1.63	8.26E-04
regulation of gene expression (GO:0010468)	2450	31	19.25	+	1.61	9.10E-03
regulation of macromolecule biosynthetic process (GO:0010556)	2457	31	19.3	+	1.61	9.26E-03
cellular process (GO:0009987)	12759	158	100.24	+	1.58	4.85E-11
primary metabolic process (GO:0044238)	6691	82	52.57	+	1.56	3.08E-05
biological_process (GO:0008150)	15924	192	125.11	+	1.53	1.88E-13
regulation of RNA biosynthetic process (GO:2001141)	1951	23	15.33	+	1.5	4.89E-02
regulation of DNA-templated transcription (GO:0006355)	1951	23	15.33	+	1.5	4.89E-02
metabolic process (GO:0008152)	7993	92	62.8	+	1.47	1.06E-04
response to stimulus (GO:0050896)	4070	45	31.98	+	1.41	1.94E-02
Unclassified (UNCLASSIFIED)	27734	151	217.89	-	0.69	1.88E-13
