GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (10516)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
stomatal movement (GO:0010118)	60	31	22.96	+	1.35	4.51E-02
cellular response to cytokinin stimulus (GO:0071368)	91	47	34.83	+	1.35	9.50E-03
export across plasma membrane (GO:0140115)	101	52	38.66	+	1.35	7.47E-03
protein-containing complex disassembly (GO:0032984)	68	35	26.03	+	1.34	3.29E-02
positive regulation of signaling (GO:0023056)	105	54	40.19	+	1.34	6.46E-03
actin cytoskeleton organization (GO:0030036)	111	57	42.49	+	1.34	5.91E-03
oligosaccharide metabolic process (GO:0009311)	80	41	30.62	+	1.34	2.08E-02
response to nematode (GO:0009624)	88	45	33.68	+	1.34	1.54E-02
negative regulation of multicellular organismal process (GO:0051241)	137	70	52.44	+	1.33	2.61E-03
response to cytokinin (GO:0009735)	137	70	52.44	+	1.33	2.61E-03
cellular response to steroid hormone stimulus (GO:0071383)	96	49	36.74	+	1.33	1.14E-02
brassinosteroid mediated signaling pathway (GO:0009742)	96	49	36.74	+	1.33	1.14E-02
steroid hormone receptor signaling pathway (GO:0043401)	96	49	36.74	+	1.33	1.14E-02
actin filament organization (GO:0007015)	102	52	39.04	+	1.33	1.04E-02
supramolecular fiber organization (GO:0097435)	171	87	65.45	+	1.33	8.72E-04
export from cell (GO:0140352)	177	90	67.75	+	1.33	8.01E-04
hormone biosynthetic process (GO:0042446)	77	39	29.47	+	1.32	3.38E-02
cellular response to gibberellin stimulus (GO:0071370)	97	49	37.13	+	1.32	1.58E-02
gravitropism (GO:0009630)	97	49	37.13	+	1.32	1.58E-02
cytokinesis (GO:0000910)	101	51	38.66	+	1.32	1.36E-02
response to steroid hormone (GO:0048545)	101	51	38.66	+	1.32	1.36E-02
"negative regulation of gene expression, epigenetic (GO:0045814)"	167	84	63.92	+	1.31	1.76E-03
response to nitrogen compound (GO:1901698)	191	96	73.1	+	1.31	7.51E-04
response to UV-B (GO:0010224)	74	37	28.32	+	1.31	4.18E-02
negative regulation of developmental process (GO:0051093)	172	86	65.83	+	1.31	2.06E-03
flower development (GO:0009908)	477	237	182.57	+	1.3	3.36E-07
RNA catabolic process (GO:0006401)	125	62	47.84	+	1.3	9.82E-03
reproductive shoot system development (GO:0090567)	494	245	189.08	+	1.3	2.53E-07
response to gravity (GO:0009629)	109	54	41.72	+	1.29	1.76E-02
phosphatidylinositol metabolic process (GO:0046488)	87	43	33.3	+	1.29	3.57E-02
regionalization (GO:0003002)	164	81	62.77	+	1.29	3.69E-03
regulatory ncRNA-mediated gene silencing (GO:0031047)	152	75	58.18	+	1.29	5.66E-03
response to brassinosteroid (GO:0009741)	136	67	52.05	+	1.29	1.01E-02
heterochromatin formation (GO:0031507)	122	60	46.7	+	1.28	1.50E-02
pattern specification process (GO:0007389)	206	101	78.85	+	1.28	1.90E-03
photoperiodism (GO:0009648)	90	44	34.45	+	1.28	3.95E-02
organic acid transport (GO:0015849)	117	57	44.78	+	1.27	2.21E-02
carboxylic acid transport (GO:0046942)	117	57	44.78	+	1.27	2.21E-02
glucosinolate metabolic process (GO:0019760)	113	55	43.25	+	1.27	2.55E-02
positive regulation of developmental process (GO:0051094)	150	73	57.41	+	1.27	1.12E-02
vegetative to reproductive phase transition of meristem (GO:0010228)	183	89	70.04	+	1.27	4.64E-03
mRNA catabolic process (GO:0006402)	105	51	40.19	+	1.27	3.43E-02
gynoecium development (GO:0048467)	99	48	37.89	+	1.27	3.85E-02
floral organ development (GO:0048437)	262	127	100.28	+	1.27	8.63E-04
anatomical structure formation involved in morphogenesis (GO:0048646)	219	106	83.82	+	1.26	2.61E-03
regulation of post-embryonic development (GO:0048580)	406	196	155.4	+	1.26	3.71E-05
cellular response to abscisic acid stimulus (GO:0071215)	282	136	107.93	+	1.26	6.84E-04
cellular response to alcohol (GO:0097306)	282	136	107.93	+	1.26	6.84E-04
regulation of multicellular organismal development (GO:2000026)	421	203	161.14	+	1.26	3.24E-05
mitotic cell cycle process (GO:1903047)	185	89	70.81	+	1.26	6.27E-03
chemical homeostasis (GO:0048878)	423	203	161.9	+	1.25	4.27E-05
nucleic acid catabolic process (GO:0141188)	134	64	51.29	+	1.25	2.59E-02
response to alcohol (GO:0097305)	645	308	246.87	+	1.25	8.09E-07
organic anion transport (GO:0015711)	176	84	67.36	+	1.25	1.26E-02
