,TN_maize,NHx_maize
SEEDGWAS1210:MRG:4:250070214,211,539.8900146
SEEDGWAS1211:MRG:4:250070215,213,539.8900146
SEEDGWAS1212:MRG:4:250070216,217,539.8900146
SEEDGWAS1214:MRG:4:250070218,412,216.75
SEEDGWAS1215:MRG:4:250070219,514,195.7400055
SEEDGWAS1216:MRG:4:250070220,385,539.8900146
SEEDGWAS122:MRG:4:250054535,527,599.789978
SEEDGWAS1220:MRG:4:250070223,254,342.6799927
SEEDGWAS123:MRG:4:250054536,NA,599.789978
SEEDGWAS124:MRG:4:250054537,564,162.4799957
SEEDGWAS1241:MRG:4:250070272,282,88.51000214
SEEDGWAS1242:MRG:4:250070273,585,216.75
SEEDGWAS1244:MRG:4:250070274,410,216.75
SEEDGWAS1246:MRG:4:250070275,575,216.75
SEEDGWAS1247:MRG:4:250070276,566,10.93000031
SEEDGWAS1249:MRG:4:250070278,512,37.36000061
SEEDGWAS125:MRG:4:250054538,564,162.4799957
SEEDGWAS1250:MRG:4:250070279,463,23.54999924
SEEDGWAS1254:MRG:4:250070280,339,37.13000107
SEEDGWAS1256:MRG:4:250070283,223,344.1400146
SEEDGWAS1257:MRG:4:250070284,NA,539.8900146
SEEDGWAS1258:MRG:4:250070285,208,539.8900146
SEEDGWAS1259:MRG:4:250070286,364,539.8900146
SEEDGWAS1260:MRG:4:250070287,337,134.0700073
SEEDGWAS1261:MRG:4:250070288,547,134.0700073
SEEDGWAS1263:MRG:4:250070290,453,599.789978
SEEDGWAS1264:MRG:4:250070292,326,344.1400146
SEEDGWAS1265:MRG:4:250070293,NA,344.1400146
SEEDGWAS1266:MRG:4:250070294,450,37.13000107
SEEDGWAS1267:MRG:4:250070295,137,258.4100037
SEEDGWAS1268:MRG:4:250070296,333,599.789978
SEEDGWAS1269:MRG:4:250070297,240,342.6799927
SEEDGWAS127:MRG:4:250054539,466,342.6799927
SEEDGWAS1270:MRG:4:250070298,378,342.6799927
SEEDGWAS1271:MRG:4:250070299,576,342.6799927
SEEDGWAS1272:MRG:4:250070300,409,342.6799927
SEEDGWAS1274:MRG:4:250070301,254,342.6799927
SEEDGWAS1277:MRG:4:250070302,240,342.6799927
SEEDGWAS1278:MRG:4:250070303,569,342.6799927
SEEDGWAS1279:MRG:4:250070304,240,342.6799927
SEEDGWAS128:MRG:4:250054540,435,342.6799927
SEEDGWAS1281:MRG:4:250070306,392,342.6799927
SEEDGWAS1282:MRG:4:250070307,NA,342.6799927
SEEDGWAS1283:MRG:4:250070308,414,342.6799927
SEEDGWAS1284:MRG:4:250070310,307,342.6799927
SEEDGWAS1287:MRG:4:250070313,364,88.51000214
SEEDGWAS1289:MRG:4:250070314,755,10.93000031
SEEDGWAS129:MRG:4:250056097,NA,34.88999939
SEEDGWAS1293:MRG:4:250070317,331,264.7799988
SEEDGWAS1294:MRG:4:250070318,472,539.8900146
SEEDGWAS1295:MRG:4:250070319,272,539.8900146
SEEDGWAS13:MRG:4:250054455,313,599.789978
SEEDGWAS130:MRG:4:250056098,499,113.8600006
