"Lines","Long","Lat","crop","n_value","log_n"
"BRIDGE_HOR_2001",15.3,37.89972222,"barley",397,2.59879050676312
"BRIDGE_HOR_2004",15.3,37.89972222,"barley",397,2.59879050676312
"BRIDGE_HOR_9859",15.41972222,47.38,"barley",718,2.8561244442423
"BRIDGE_HOR_10028",15.47,40.71388889,"barley",357,2.55266821611219
"BRIDGE_HOR_10059",15.47,40.71388889,"barley",357,2.55266821611219
"BRIDGE_HOR_11478",15.53305556,40.85,"barley",343,2.53529412004277
"BRIDGE_HOR_10952",15.55,47.38,"barley",911,2.959518376973
"BRIDGE_HOR_11479",15.57833333,40.69305556,"barley",348,2.54157924394658
"BRIDGE_HOR_12791",15.57833333,40.69305556,"barley",348,2.54157924394658
"BRIDGE_HOR_9261",15.60055556,41.68666667,"barley",372,2.5705429398819
"BRIDGE_HOR_10044",15.64194444,40.62777778,"barley",407,2.60959440922522
"BRIDGE_HOR_12822",15.66666667,40.95,"barley",538,2.73078227566639
"BRIDGE_HOR_12823",15.66666667,40.93305556,"barley",479,2.68033551341456
"BRIDGE_HOR_13523",15.66666667,40.95,"barley",538,2.73078227566639
"BRIDGE_HOR_13524",15.66666667,40.95,"barley",538,2.73078227566639
"BRIDGE_HOR_10045",15.85,40.48694444,"barley",530,2.72427586960079
"BRIDGE_HOR_10681",15.86638889,37.98305556,"barley",406,2.60852603357719
"BRIDGE_HOR_9913",15.88,40.34111111,"barley",408,2.61066016308988
"BRIDGE_HOR_9914",15.94416667,40.31055556,"barley",444,2.64738297011462
"BRIDGE_HOR_10223",15.98305556,40.09777778,"barley",564,2.75127910398334
"BRIDGE_HOR_9255",15.99027778,41.93361111,"barley",NA,NA
"BRIDGE_HOR_9911",16.01,40.43972222,"barley",428,2.63144376901317
"BRIDGE_HOR_10225",16.05,39.7,"barley",493,2.69284691927723
"BRIDGE_HOR_10221",16.16638889,40.11638889,"barley",482,2.68304703823885
"BRIDGE_HOR_9262",16.16638889,41.81111111,"barley",385,2.5854607295085
"BRIDGE_HOR_10226",16.17583333,39.60055556,"barley",304,2.48287358360875
"BRIDGE_HOR_1669",16.2,39.21638889,"barley",463,2.66558099101795
"BRIDGE_HOR_2003",16.2,38.16638889,"barley",314,2.49692964807321
"BRIDGE_HOR_1670",16.25,39.29972222,"barley",336,2.52633927738984
"BRIDGE_HOR_1671",16.25,39.29972222,"barley",336,2.52633927738984
"BRIDGE_HOR_12824",16.28333333,40,"barley",570,2.75587485567249
"BRIDGE_HOR_12825",16.3,40.03333333,"barley",517,2.71349054309394
"BRIDGE_HOR_2002",16.3,38.33305556,"barley",300,2.47712125471966
"BRIDGE_HOR_2009",16.33305556,39.23305556,"barley",368,2.56584781867352
"BRIDGE_HOR_2010",16.33305556,39.23305556,"barley",368,2.56584781867352
"BRIDGE_HOR_2011",16.33305556,39.23305556,"barley",368,2.56584781867352
"BRIDGE_HOR_10229",16.35277778,39.33305556,"barley",511,2.70842090013471
"BRIDGE_HOR_10230",16.35277778,39.33305556,"barley",511,2.70842090013471
"BRIDGE_HOR_10364",16.36638889,39.08305556,"barley",437,2.64048143697042
"BRIDGE_HOR_10365",16.36638889,39.08305556,"barley",437,2.64048143697042
"BRIDGE_HOR_10474",16.36638889,39.08305556,"barley",437,2.64048143697042
"BRIDGE_HOR_2005",16.39972222,38.31638889,"barley",294,2.46834733041216
"BRIDGE_HOR_10825",16.5,40.72722222,"barley",272,2.4345689040342
