,at_aridity_index
9708,4819
9709,4106
9710,4106
9711,4925
9712,4925
9713,5079
9714,4652
9716,5242
9717,4777
9718,5594
9719,4608
9720,4736
9721,5752
9722,5364
9723,4940
9725,3711
9726,4724
9727,4990
9728,8864
9729,8864
9730,8180
9731,8864
9732,8748
9733,8180
9735,8180
9736,5322
9737,5999
9738,6945
9739,6437
9741,5820
9743,6421
9744,5274
9745,5948
9747,5803
9748,6419
9749,5802
9754,6121
9755,5451
9756,5848
9757,5848
9758,1385
9759,11269
9761,6041
9762,5968
9764,6573
9766,4528
9768,8746
9769,9359
9770,8771
9771,9180
9772,9482
9774,8626
9775,9977
9776,10027
9777,8736
9778,9636
9779,10153
9780,10027
9781,8763
9782,8363
9783,8343
9784,9941
9785,8786
9786,8930
9787,8517
9788,8771
9789,9842
9790,8862
9791,8899
9792,8695
9793,8746
9794,8330
9795,8725
9796,9636
9797,8786
9798,8930
9799,9480
9800,8930
9801,8930
9802,8763
9803,9662
9804,9541
9805,8695
9806,8510
9807,8686
9808,8330
9809,8343
9810,8350
9811,8343
9812,8402
9813,9863
9814,9985
9815,8786
9816,9041
9817,3682
9819,4858
9820,2744
9821,6317
9822,2633
9823,9569
9824,7897
9825,2563
9826,8220
9827,9354
9828,7610
9830,3689
9831,2601
9832,2688
9833,2365
9834,2589
9835,6659
9836,3024
9837,4184
9838,3780
9839,2746
9840,2733
9841,3099
9843,2471
9844,3969
9845,2421
9846,4507
9847,9260
9848,4073
9849,3279
9850,10018
9851,10199
9852,2541
9853,9732
9854,9655
9855,2602
9856,2569
9857,2674
9858,6310
9859,2607
9860,4303
9861,2680
9862,2771
9864,5854
9866,4104
9867,2875
9868,6605
9869,4753
9870,2820
9871,5263
9873,3471
9874,4661
9875,9876
9876,5115
9877,10223
9878,2809
9879,1903
9880,5997
9881,4108
9882,2592
9883,5514
9885,3969
9886,6733
9887,2632
9888,2703
9890,7960
9891,5675
9892,10722
9894,10614
9895,6365
9897,3581
9898,5404
9899,9819
9900,2933
9901,6217
9902,2680
9903,5496
9904,2710
9905,7476
9906,3649
9908,8966
9909,9009
9910,9209
9911,9972
9912,8580
9914,8690
9915,9326
9917,7953
9918,8332
9920,7321
9921,7319
9924,6901
9925,7121
9926,6519
9927,5593
9928,6101
9929,4962
9930,5615
9932,6287
9933,4823
9935,8508
9937,9334
9938,8401
9939,2541
9941,9908
9942,3125
9943,3106
9944,3149
9945,3443
9946,3014
9947,3615
9948,3447
9949,10399
9950,12281
9951,6085
9952,6146
9953,6009
9955,4491
9956,4428
9957,5096
9958,5471
9959,5471
9960,3720
9962,6779
9963,8095
9964,6596
9965,7000
9966,6402
9968,7232
9969,5256
9970,7436
9971,7318
9972,7318
9973,8093
9974,8322
9975,8322
9976,8065
9978,6554
9979,6821
9980,6628
9981,6406
9982,7906
9983,7382
9984,7382
9985,5093
9986,5334
9987,4101
9988,7055
9990,6743
9991,4589
9993,6001
9995,10016
9996,10248
9997,8510
9998,9858
9999,8319
10001,8343
10002,8682
10004,5246
10005,6340
10006,4866
10008,5948
10009,5948
10010,5948
10011,3464
10012,5668
10013,6731
10014,8477
10015,5765
10017,6041
10018,5738
10020,5291
10022,9195
10023,0
10027,9260
14312,8866
14313,8866
14314,9252
14315,9252
14318,8998
14319,8998
15560,8060
15591,10775
15592,10422
15593,10422
18694,8771
18696,8955
19949,10711
19950,10711
19951,10711
