,rice_aridity_index
IRIS_313-9470,22198
IRIS_313-9590,15357
IRIS_313-9691,21022
IRGC_12731,11962
IRGC_14779,11962
IRGC_40252,11962
IRGC_410,11962
IRGC_8191,11962
IRGC_8257,11962
IRIS_313-10071,11962
IRIS_313-10073,11962
IRIS_313-10074,11962
IRIS_313-10075,11962
IRIS_313-10076,11962
IRIS_313-10077,11962
IRIS_313-10078,11962
IRIS_313-10079,11962
IRIS_313-10080,11962
IRIS_313-10082,11962
IRIS_313-10469,11962
IRIS_313-10569,11962
IRIS_313-10642,11962
IRIS_313-11725,11962
IRIS_313-8755,11962
IRIS_313-9002,11962
IRIS_313-9081,11962
IRIS_313-9800,11962
IRIS_313-9884,11962
IRIS_313-10651,10375
IRIS_313-10652,10375
IRIS_313-10653,7704
IRIS_313-10654,10375
IRIS_313-10655,9382
IRIS_313-10656,9382
IRIS_313-10657,10796
IRIS_313-10659,9838
IRIS_313-10660,9838
IRIS_313-10679,10658
IRIS_313-10680,10427
IRIS_313-10681,10804
IRIS_313-10682,8129
IRIS_313-10683,7981
IRIS_313-10921,8758
IRIS_313-11071,13187
IRIS_313-11072,17607
IRIS_313-11073,10273
IRIS_313-11074,10375
IRIS_313-11075,10375
IRIS_313-11076,15661
IRIS_313-11077,17607
IRIS_313-11078,13348
IRIS_313-11079,17607
IRIS_313-11080,8854
IRIS_313-11081,17607
IRIS_313-11082,17607
IRIS_313-11083,9838
IRIS_313-11085,10470
IRIS_313-11086,10375
IRIS_313-11090,10375
IRIS_313-11091,9838
IRIS_313-11092,13187
IRIS_313-11093,20227
IRIS_313-11094,7907
IRIS_313-11095,9838
IRIS_313-11991,10243
IRIS_313-11992,10458
IRIS_313-12028,10243
IRIS_313-12029,8854
IRIS_313-12049,8244
IRIS_313-12071,17607
IRIS_313-12076,10128
IRIS_313-12077,10273
IRIS_313-12121,12882
IRIS_313-12127,8090
IRIS_313-12128,8090
IRIS_313-12129,15672
IRIS_313-12130,11125
IRIS_313-12131,9238
IRIS_313-12133,10662
IRIS_313-12134,12882
IRIS_313-12190,11808
IRIS_313-12193,15672
IRIS_313-12194,12882
IRIS_313-12207,11808
IRIS_313-12220,11105
IRIS_313-12221,11105
IRIS_313-12222,8090
IRIS_313-12224,11105
IRIS_313-12225,10662
IRIS_313-12226,10458
IRIS_313-12227,8090
IRIS_313-12228,8733
IRIS_313-12229,10458
IRIS_313-12231,11105
IRIS_313-12242,15822
IRIS_313-12252,13548
IRIS_313-12254,10878
IRIS_313-12257,11212
IRIS_313-12258,11808
IRIS_313-12259,13133
IRIS_313-12260,10662
IRIS_313-12261,10520
IRIS_313-12262,11212
IRIS_313-12263,9902
IRIS_313-12265,10878
IRIS_313-12297,8953
IRIS_313-12299,11123
IRIS_313-12300,10449
IRIS_313-12301,15822
IRIS_313-12302,9202
IRIS_313-12303,8854
IRIS_313-12305,8413
IRIS_313-12307,10782
IRIS_313-12308,10662
IRIS_313-12309,10548
IRIS_313-12311,11808
IRIS_313-12312,8900
IRIS_313-12313,8953
IRIS_313-12321,11363
IRIS_313-12329,7783
IRIS_313-12332,10468
IRIS_313-12334,7665
IRIS_313-12336,11141
IRIS_313-12337,10122
IRIS_313-12341,9713
IRIS_313-12342,9264
IRIS_313-12344,9817
IRIS_313-12346,8610
IRIS_313-12347,8849
IRIS_313-12348,11689
IRIS_313-12349,11139
IRIS_313-12350,10776
IRIS_313-12352,10432
IRIS_313-12353,10975
IRIS_313-12354,10987
IRIS_313-12355,10943
IRIS_313-8638,10375
IRIS_313-9198,13187
IRGC_31,25454
IRGC_44076,26979
IRGC_71494,12298
IRGC_71524,15584
IRGC_71528,16964
IRGC_71589,20994
IRGC_71598,14376
IRIS_313-10428,25454
IRIS_313-10684,16199
IRIS_313-10687,21377
IRIS_313-10688,25454
IRIS_313-10694,25454
IRIS_313-10695,25454
IRIS_313-10697,25454
IRIS_313-10698,25454
IRIS_313-10699,25454
IRIS_313-10700,25454
IRIS_313-10701,25454
IRIS_313-10702,25454
IRIS_313-10703,25454
IRIS_313-10704,13805
IRIS_313-10705,25454
IRIS_313-10706,25454
IRIS_313-10707,25454
IRIS_313-11328,28885
IRIS_313-11329,26979
IRIS_313-11848,17441
IRIS_313-11849,25454
IRIS_313-11850,25454
IRIS_313-12005,25454
IRIS_313-12006,25454
IRIS_313-12030,25454
IRIS_313-12070,15464
IRIS_313-12108,25083
IRIS_313-12135,25083
IRIS_313-12285,25454
IRIS_313-8279,14926
IRIS_313-8312,21871
IRIS_313-8316,25454
IRIS_313-8407,25454
IRIS_313-8439,25454
IRIS_313-8468,25454
IRIS_313-8492,20468
IRIS_313-8557,25454
IRIS_313-8591,25454
IRIS_313-8626,26979
