Variable,PC,loading,species,bio_name,bio_label
BIO18,PC3,-0.0171670395914225,maize,Precipitation of Warmest Quarter,BIO18  Precipitation of Warmest Quarter
BIO19,PC1,-0.216154343452953,maize,Precipitation of Coldest Quarter,BIO19  Precipitation of Coldest Quarter
BIO19,PC2,-0.227547058688322,maize,Precipitation of Coldest Quarter,BIO19  Precipitation of Coldest Quarter
BIO19,PC3,-0.100426408292161,maize,Precipitation of Coldest Quarter,BIO19  Precipitation of Coldest Quarter
BIO01,PC1,0.253546076668063,rice,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO01,PC2,0.30390243427165,rice,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO01,PC3,0.0367126904404998,rice,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO02,PC1,-0.229722641838198,rice,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO02,PC2,0.172288091259191,rice,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO02,PC3,0.111195035623081,rice,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO03,PC1,0.294162955613673,rice,Isothermality,BIO03  Isothermality
BIO03,PC2,-0.129410072031297,rice,Isothermality,BIO03  Isothermality
BIO03,PC3,0.165905633882012,rice,Isothermality,BIO03  Isothermality
BIO04,PC1,-0.317984288121843,rice,Temperature Seasonality,BIO04  Temperature Seasonality
BIO04,PC2,-0.00389459057943057,rice,Temperature Seasonality,BIO04  Temperature Seasonality
BIO04,PC3,-0.0484848287731447,rice,Temperature Seasonality,BIO04  Temperature Seasonality
BIO05,PC1,0.0210564734228379,rice,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO05,PC2,0.419102178608389,rice,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO05,PC3,0.0985408846517198,rice,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO06,PC1,0.321824599965652,rice,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO06,PC2,0.130032180060675,rice,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO06,PC3,0.0636342820626191,rice,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO07,PC1,-0.316970643568281,rice,Temperature Annual Range,BIO07  Temperature Annual Range
BIO07,PC2,0.0896482825618999,rice,Temperature Annual Range,BIO07  Temperature Annual Range
BIO07,PC3,-0.0126305364959144,rice,Temperature Annual Range,BIO07  Temperature Annual Range
BIO08,PC1,0.139782958745582,rice,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO08,PC2,0.35973817281191,rice,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO08,PC3,-0.0125894805817162,rice,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO09,PC1,0.284257975690922,rice,Mean Temperature of Driest Quarter,BIO09  Mean Temperature of Driest Quarter
BIO09,PC2,0.215516126031886,rice,Mean Temperature of Driest Quarter,BIO09  Mean Temperature of Driest Quarter
BIO09,PC3,0.0941495847293242,rice,Mean Temperature of Driest Quarter,BIO09  Mean Temperature of Driest Quarter
BIO10,PC1,0.0975591316980915,rice,Mean Temperature of Warmest Quarter,BIO10  Mean Temperature of Warmest Quarter
BIO10,PC2,0.412764182755464,rice,Mean Temperature of Warmest Quarter,BIO10  Mean Temperature of Warmest Quarter
BIO10,PC3,0.0494376192172595,rice,Mean Temperature of Warmest Quarter,BIO10  Mean Temperature of Warmest Quarter
BIO11,PC1,0.303060223104235,rice,Mean Temperature of Coldest Quarter,BIO11  Mean Temperature of Coldest Quarter
BIO11,PC2,0.196872580721796,rice,Mean Temperature of Coldest Quarter,BIO11  Mean Temperature of Coldest Quarter
BIO11,PC3,0.0550648652247906,rice,Mean Temperature of Coldest Quarter,BIO11  Mean Temperature of Coldest Quarter
BIO12,PC1,0.247249639655985,rice,Annual Precipitation,BIO12  Annual Precipitation
BIO12,PC2,-0.113871646213844,rice,Annual Precipitation,BIO12  Annual Precipitation
BIO12,PC3,-0.340328595763248,rice,Annual Precipitation,BIO12  Annual Precipitation
BIO13,PC1,0.118823461831648,rice,Precipitation of Wettest Month,BIO13  Precipitation of Wettest Month
BIO13,PC2,0.0597080315929732,rice,Precipitation of Wettest Month,BIO13  Precipitation of Wettest Month
BIO13,PC3,-0.5041740185607,rice,Precipitation of Wettest Month,BIO13  Precipitation of Wettest Month
BIO14,PC1,0.225551632254256,rice,Precipitation of Driest Month,BIO14  Precipitation of Driest Month
BIO14,PC2,-0.246968423901922,rice,Precipitation of Driest Month,BIO14  Precipitation of Driest Month
BIO14,PC3,0.123488310500757,rice,Precipitation of Driest Month,BIO14  Precipitation of Driest Month
BIO15,PC1,-0.189149773719865,rice,Precipitation Seasonality,BIO15  Precipitation Seasonality
BIO15,PC2,0.295457277976337,rice,Precipitation Seasonality,BIO15  Precipitation Seasonality
BIO15,PC3,-0.197032019285112,rice,Precipitation Seasonality,BIO15  Precipitation Seasonality
BIO16,PC1,0.133444470123978,rice,Precipitation of Wettest Quarter,BIO16  Precipitation of Wettest Quarter
BIO16,PC2,0.0430784760652692,rice,Precipitation of Wettest Quarter,BIO16  Precipitation of Wettest Quarter
BIO16,PC3,-0.502690791854316,rice,Precipitation of Wettest Quarter,BIO16  Precipitation of Wettest Quarter
BIO17,PC1,0.231768978279039,rice,Precipitation of Driest Quarter,BIO17  Precipitation of Driest Quarter
BIO17,PC2,-0.248102399529296,rice,Precipitation of Driest Quarter,BIO17  Precipitation of Driest Quarter
BIO17,PC3,0.11970279933877,rice,Precipitation of Driest Quarter,BIO17  Precipitation of Driest Quarter
BIO18,PC1,0.0486180660853602,rice,Precipitation of Warmest Quarter,BIO18  Precipitation of Warmest Quarter
BIO18,PC2,-0.0927750748718134,rice,Precipitation of Warmest Quarter,BIO18  Precipitation of Warmest Quarter
BIO18,PC3,-0.478554752856634,rice,Precipitation of Warmest Quarter,BIO18  Precipitation of Warmest Quarter
BIO19,PC1,0.230901435960078,rice,Precipitation of Coldest Quarter,BIO19  Precipitation of Coldest Quarter
BIO19,PC2,-0.196917132692331,rice,Precipitation of Coldest Quarter,BIO19  Precipitation of Coldest Quarter
BIO19,PC3,0.0886958391161912,rice,Precipitation of Coldest Quarter,BIO19  Precipitation of Coldest Quarter
BIO01,PC1,-0.286520780662987,sorghum,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO01,PC2,-0.284501893023597,sorghum,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO01,PC3,0.0121041414421904,sorghum,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO02,PC1,-0.161842293007784,sorghum,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO02,PC2,0.176612352483756,sorghum,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO02,PC3,0.137894297402043,sorghum,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO03,PC1,0.226393537305843,sorghum,Isothermality,BIO03  Isothermality
BIO03,PC2,-0.223002231002355,sorghum,Isothermality,BIO03  Isothermality
BIO03,PC3,0.282647162623069,sorghum,Isothermality,BIO03  Isothermality
BIO04,PC1,-0.153121351974999,sorghum,Temperature Seasonality,BIO04  Temperature Seasonality
BIO04,PC2,0.322132942604742,sorghum,Temperature Seasonality,BIO04  Temperature Seasonality
BIO04,PC3,-0.205673300035299,sorghum,Temperature Seasonality,BIO04  Temperature Seasonality
BIO05,PC1,-0.358202348771,sorghum,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO05,PC2,-0.0906591740551192,sorghum,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO05,PC3,-0.0855560017033656,sorghum,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO06,PC1,-0.0809646025702246,sorghum,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO06,PC2,-0.41706714957018,sorghum,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO06,PC3,0.106493039809606,sorghum,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO07,PC1,-0.223260733470224,sorghum,Temperature Annual Range,BIO07  Temperature Annual Range
BIO07,PC2,0.309407348419585,sorghum,Temperature Annual Range,BIO07  Temperature Annual Range
BIO07,PC3,-0.1694278562202,sorghum,Temperature Annual Range,BIO07  Temperature Annual Range
BIO08,PC1,-0.297295267536584,sorghum,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO08,PC2,-0.130068348609897,sorghum,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO08,PC3,-0.0427953103342328,sorghum,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO09,PC1,-0.188915202695772,sorghum,Mean Temperature of Driest Quarter,BIO09  Mean Temperature of Driest Quarter
