,sb_PC1,sb_PC2,sb_PC3
IS2262.628P7AAXX.7.250007041,-1.650672073,-0.234570557,1.128929675
IS22701.C1AB3ACXX.7.250137718,-2.861935933,-2.306089567,2.73575075
IS22702.C1AB3ACXX.7.250137719,-2.257254414,-1.759447464,2.56065585
IS22720.MRG.4.250047510,-1.323293722,-1.403063626,2.343270694
IS22742.C1AB3ACXX.7.250137720,-1.172831693,-1.980607543,2.194839495
IS22746.D1EYBACXX.1.250137752,-2.172186527,-1.909724332,2.451270743
IS22751.D1EYBACXX.1.250137753,-2.274632878,-1.954149337,2.587616507
IS22785.D1EYBACXX.1.250137754,-1.46140639,-1.840263955,2.822383254
IS22789.D1EYBACXX.1.250137755,-0.834317742,-2.13518022,2.914323196
IS22792.D1EYBACXX.1.250137756,-1.609552352,-2.092303327,3.071104241
IS22799.MRG.4.250047511,-1.747550208,-2.180924119,3.069170588
IS22909.70MUKAAXX.2.250006094,-2.37304607,-0.410805076,1.206732343
IS22986.70MUKAAXX.2.250006007,-1.752751866,-1.624891048,0.971194268
IS22996.70MUKAAXX.2.250006016,-1.752751866,-1.624891048,0.971194268
IS23033.D0D0HACXX.5.250046087,-3.788832239,0.317159462,1.744583529
IS23048.70MUKAAXX.2.250006027,-2.307920841,1.574934045,0.633452825
IS23053.70MUKAAXX.2.250006037,-3.259316775,-0.240206065,1.819739567
IS23100.628NVAAXX.5.250006957,1.565709525,0.833564787,1.435203497
IS23108.D1EYBACXX.1.250137757,1.089643888,0.341661046,1.453324424
IS23142.628NVAAXX.5.250006981,0.969698436,0.403938751,1.730488847
IS23166.B064FABXX.1.250010004,0.763454555,0.48895625,1.225493001
IS23178.628P7AAXX.7.250007037,0.263340426,1.965737739,-0.175035058
IS23184.D1EYBACXX.1.250137758,-0.108901477,1.471874382,-0.929142601
IS23188.D1EYBACXX.1.250137759,-0.375558394,0.983855712,-1.242980884
IS23216.MRG.4.250047513,0.275380427,1.136267562,-1.260973124
IS23225.D1EYBACXX.1.250137760,0.667041006,0.959843935,-1.44154653
IS23240.D1EYBACXX.1.250137761,0.218922362,0.903137731,-0.503406763
IS23248.D1EYBACXX.1.250137762,0.685517517,1.712584318,-1.432093422
IS23262.D1EYBACXX.1.250137763,1.687382768,0.552624037,-0.421311445
IS23263.D1EYBACXX.1.250137764,-0.63116789,0.609270221,-0.631433384
IS23275.D1EYBACXX.1.250137765,-0.50636979,0.544928065,-0.8806537
IS23283.D1EYBACXX.1.250137766,0.15173084,1.961919148,-0.65807788
IS23298.D1EYBACXX.1.250137767,0.840050505,1.613836552,-0.470015591
IS23306.D1EYBACXX.1.250137768,0.308170165,0.056301627,-0.658128238
IS23308.D1EYBACXX.1.250137769,0.222171633,0.152399664,-0.805851234
IS23319.D1EYBACXX.1.250137770,0.936251768,-0.153744827,0.412508875
IS23322.D1EYBACXX.1.250137771,0.917261407,2.86991357,-0.559728945
IS23335.D1EYBACXX.1.250137772,1.644542921,0.673531913,-1.069824609
IS23341.D1EYBACXX.1.250137773,1.257018345,0.619241172,-0.991574362
IS23357.D1EYBACXX.1.250137774,1.852789751,0.895402539,0.263097896
IS23358.D1EYBACXX.1.250137775,1.339119353,0.449633272,0.503522801
IS23363.D1EYBACXX.1.250137776,1.131906129,0.726008483,-1.352473255
IS23366.D1EYBACXX.1.250137777,1.317617105,1.810783117,-1.610377494
IS23367.D1EYBACXX.1.250137778,-0.012976339,2.353250074,0.022144295
IS23370.D1EYBACXX.1.250137779,1.499299932,1.204802225,-0.554728122
IS23373.D1EYBACXX.1.250137780,1.010038084,2.188388084,-1.607735034
IS23375.D1EYBACXX.1.250137781,0.485466331,2.009329289,-0.885761009
IS23376.D1EYBACXX.1.250137782,0.230178721,1.913898746,-0.338599576
IS23514.MRG.4.250047514,-1.016619433,-2.346538487,0.594990935
