,barley_PC1,barley_PC2,barley_PC3
BRIDGE_HOR_10044,-1.278396578,-0.46262828,-2.015632251
BRIDGE_HOR_12822,-1.200324169,-0.988933533,-1.769700751
BRIDGE_HOR_12823,-1.200324169,-0.988933533,-1.769700751
BRIDGE_HOR_13523,-1.200324169,-0.988933533,-1.769700751
BRIDGE_HOR_13524,-1.200324169,-0.988933533,-1.769700751
BRIDGE_HOR_10045,-1.128216803,0.005727402,-2.374101528
BRIDGE_HOR_10681,-3.190820012,-1.522293023,-1.315293749
BRIDGE_HOR_9913,-1.128216803,0.005727402,-2.374101528
BRIDGE_HOR_9914,-1.606257446,-0.123343785,-2.189153711
BRIDGE_HOR_10223,-1.675291241,0.257727663,-2.403466965
BRIDGE_HOR_9255,-1.597921144,-1.713158522,-1.791287072
BRIDGE_HOR_9911,-1.369674784,-0.258311036,-2.188550493
BRIDGE_HOR_10225,-1.942582008,0.103839075,-2.236235
BRIDGE_HOR_10221,-1.961355854,-0.033254848,-2.206938106
BRIDGE_HOR_9262,-1.364221372,-1.666875283,-1.882329335
BRIDGE_HOR_10226,-2.893152636,-1.278960482,-1.130199214
BRIDGE_HOR_1669,-2.525901587,-0.317883221,-1.658743462
BRIDGE_HOR_2003,-3.631812778,-1.636470701,-1.240498213
BRIDGE_HOR_1670,-2.525901587,-0.317883221,-1.658743462
BRIDGE_HOR_1671,-2.525901587,-0.317883221,-1.658743462
BRIDGE_HOR_12824,-1.311689698,0.400005219,-2.410140854
BRIDGE_HOR_12825,-2.065123724,-0.492503589,-1.893297618
BRIDGE_HOR_2002,-3.361441297,-1.301955591,-1.343669775
BRIDGE_HOR_2009,-2.525901587,-0.317883221,-1.658743462
BRIDGE_HOR_2010,-2.525901587,-0.317883221,-1.658743462
BRIDGE_HOR_2011,-2.525901587,-0.317883221,-1.658743462
BRIDGE_HOR_10229,-1.254488272,0.483239146,-2.154939712
BRIDGE_HOR_10230,-1.254488272,0.483239146,-2.154939712
BRIDGE_HOR_10364,-1.851187195,0.208832871,-1.820737863
BRIDGE_HOR_10365,-1.851187195,0.208832871,-1.820737863
BRIDGE_HOR_10474,-1.851187195,0.208832871,-1.820737863
BRIDGE_HOR_2005,-3.450822428,-1.464467056,-1.180961146
BRIDGE_HOR_10825,-1.445280049,-1.223589904,-1.523152714
BRIDGE_HOR_2392,-1.301103965,0.414831752,-2.26895217
BRIDGE_HOR_2486,-1.301103965,0.414831752,-2.26895217
BRIDGE_HOR_2008,-1.963473871,-0.281144023,-1.693743783
BRIDGE_HOR_2007,-1.963473871,-0.281144023,-1.693743783
BRIDGE_HOR_10234,-2.061153364,-0.219639591,-1.745595476
BRIDGE_HOR_10827,-1.705789631,-1.329024557,-1.448945787
BRIDGE_HOR_2006,-2.669821662,-1.774789508,-0.693613778
BRIDGE_HOR_11120,-1.458653825,-1.116212701,-1.622710867
BRIDGE_HOR_7336,0.319615826,0.959896118,-1.433354575
BRIDGE_HOR_7392,0.319615826,0.959896118,-1.433354575
BRIDGE_HOR_9646,0.319615826,0.959896118,-1.433354575
BRIDGE_HOR_9647,0.319615826,0.959896118,-1.433354575
BRIDGE_HOR_9648,0.319615826,0.959896118,-1.433354575
BRIDGE_HOR_9653,0.319615826,0.959896118,-1.433354575
BRIDGE_HOR_9651,0.319615826,0.959896118,-1.433354575
BRIDGE_HOR_9652,0.319615826,0.959896118,-1.433354575
BRIDGE_HOR_9248,-1.753060196,-1.356695931,-1.50407437
BRIDGE_HOR_7334,0.368667712,0.584278135,-1.054964294
BRIDGE_HOR_7335,0.368667712,0.584278135,-1.054964294
BRIDGE_HOR_10828,-2.019979878,-1.780446858,-1.129343253
BRIDGE_HOR_10831,-2.019979878,-1.780446858,-1.129343253
BRIDGE_HOR_9252,-1.979015156,-1.597066146,-1.367196115
BRIDGE_HOR_9636,0.44545497,0.620342913,-1.044892905
BRIDGE_HOR_9637,0.44545497,0.620342913,-1.044892905
BRIDGE_HOR_9638,0.44545497,0.620342913,-1.044892905
BRIDGE_HOR_9639,0.44545497,0.620342913,-1.044892905
BRIDGE_HOR_9640,0.44545497,0.620342913,-1.044892905
BRIDGE_HOR_9641,0.44545497,0.620342913,-1.044892905
BRIDGE_HOR_9642,0.44545497,0.620342913,-1.044892905
BRIDGE_HOR_9643,0.44545497,0.620342913,-1.044892905
BRIDGE_HOR_9655,0.443403897,1.246313087,-1.589070551
BRIDGE_HOR_9670,0.443403897,1.246313087,-1.589070551
BRIDGE_HOR_9671,0.443403897,1.246313087,-1.589070551
BRIDGE_HOR_9656,0.443403897,1.246313087,-1.589070551
BRIDGE_HOR_9657,0.443403897,1.246313087,-1.589070551
BRIDGE_HOR_9658,0.443403897,1.246313087,-1.589070551
BRIDGE_HOR_9659,0.443403897,1.246313087,-1.589070551
BRIDGE_HOR_9660,0.443403897,1.246313087,-1.589070551
BRIDGE_HOR_9645,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9661,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9662,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9663,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9664,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9665,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9666,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9667,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9668,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9669,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_8613,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9685,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9672,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9673,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9682,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9683,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9684,0.454885157,1.096561073,-1.517489345
