,AT_PC1,AT_PC2,AT_PC3
6933,-1.742692617,2.954365907,0.284669833
6938,2.582010391,-2.037395232,0.702185714
6940,-0.55143994,-0.902837556,-0.990692532
6943,-1.541087483,0.701241993,-2.334228737
6944,-1.541087483,0.701241993,-2.334228737
6945,-2.147368337,-0.582126544,-1.320868904
6951,1.421670975,-0.239276643,-0.657666545
6956,1.421670975,-0.239276643,-0.657666545
6957,1.421670975,-0.239276643,-0.657666545
6958,-0.151397182,1.790238855,-0.070789408
6959,-2.493940632,1.002407437,-1.616640755
6960,-2.493940632,1.002407437,-1.616640755
6961,1.246682099,7.173181201,1.020303175
6963,1.890172722,5.925807199,2.153986136
6966,-1.541087483,0.701241993,-2.334228737
6967,-1.541087483,0.701241993,-2.334228737
6968,1.20284956,-2.131681665,-1.242591041
6969,1.20284956,-2.131681665,-1.242591041
6970,-1.522529707,3.137345707,0.130091166
6971,-1.522529707,3.137345707,0.130091166
6973,-0.351322916,-1.333786823,-1.734581369
6974,-0.351322916,-1.333786823,-1.734581369
6975,0.066910408,-0.926800239,0.984193018
6976,0.066910408,-0.926800239,0.984193018
6979,-3.79806479,-3.793185361,2.815767686
6981,2.386148559,-1.273884328,0.419600168
6982,-1.284238045,-1.243372815,-0.690100269
6984,1.454573012,-0.310823428,-0.584246282
6986,-2.663600312,-1.178937115,-2.350087734
6987,-1.880038571,-0.882982249,0.956744334
6989,-7.292942267,-4.860981091,1.451967638
6990,-1.823613406,-1.05474926,-1.522225445
6992,-1.866003924,-1.600638205,-0.673116824
6997,-1.427811351,-0.189820405,-1.496849115
7000,-0.647699437,-1.359352926,-0.958480255
7002,-1.134348356,-0.203293771,-1.124343858
7003,-2.951594042,-3.060988079,1.301615808
7008,-1.78061486,-0.49941769,-1.384346117
7013,0.689090634,0.164497485,-1.137724986
7014,-10.83135288,-6.514342328,4.316903872
7025,0.560302002,1.78789837,1.024674192
7026,-8.037379247,-4.914614514,2.109711198
7028,-2.287634518,-1.498806079,-0.479952073
7031,-0.251567445,0.036419703,-0.63843804
7033,-0.578752221,4.294704936,2.235889841
7036,-2.184476893,-1.70486605,-0.422095982
7058,-5.425157636,-1.519085298,-0.702244596
7061,-3.947172412,-1.787247209,-1.383003602
7062,-0.55143994,-0.902837556,-0.990692532
7063,-1.815310638,8.493388386,-3.993580514
7064,-1.681996361,0.223087231,-2.454054592
7067,-1.022523721,5.56364756,0.174531223
7068,-0.350707433,5.259051699,-0.557278402
7071,-0.668857744,0.979247897,-1.725975904
7072,2.893594248,-2.210831213,0.353513937
7077,-4.570634294,3.460113539,2.068329966
7081,-4.085632214,4.650817557,1.533774199
7092,-0.724488366,0.466457332,-1.697300856
7094,0.018971142,0.365759806,-0.667618909
7096,-0.762086497,0.153765203,0.035092398
7102,-2.038934611,-1.774663158,-0.559871109
7103,1.454573012,-0.310823428,-0.584246282
7106,0.366461495,-0.144521969,-0.188049713
7107,-1.910479721,-0.281411194,-3.414452745
7109,-1.863415306,0.252525786,-2.284311132
7111,-1.838109102,-0.559599659,-2.878669197
7117,-1.526735289,-1.608717486,-1.391337371
7119,0.018971142,0.365759806,-0.667618909
7120,0.018971142,0.365759806,-0.667618909
7125,-0.231970364,-0.62140253,0.017484877
7126,1.58734114,-2.139522185,-0.948005209
7127,1.747913333,-1.918729477,-0.254395626
7130,-0.777419585,0.803798835,-0.438290006
7133,-0.251567445,0.036419703,-0.63843804
7138,-0.29302965,-0.18021479,-0.850484588
7143,-1.147467729,-0.14453609,-1.059170282
7147,-0.147552399,-0.335739266,-1.014935875
7158,0.244960264,-0.777332734,2.021846672
7160,2.137809302,-0.947925765,2.866211616
7161,-0.223447379,-0.566223586,-1.128061359
7162,-1.151275732,-1.201290815,-0.799717125
7163,-0.196212657,-0.048694409,-0.992320237
7164,-0.025596471,-0.706333809,-2.494643689
7165,-3.504982325,-2.649796436,-0.006055104
7169,-1.301635436,-1.544996933,-1.009729344
7177,0.834785943,-1.089626232,-0.253994795
7181,0.33348492,-0.234127555,-0.803994668
7183,7.881693565,-3.264473614,-3.899410173
7186,1.708513078,-1.143980861,-0.492854899
7192,-7.994420095,-3.612611062,1.131158714
7199,-1.161201618,-0.171180703,-0.703559487
7202,-0.653311321,-0.913347185,-0.876518982
7203,-1.316068936,-2.315681775,0.513097725
7207,-4.329954524,-2.619933382,7.816550624
7208,-6.233522641,-2.958008504,0.358195646
7209,1.408271884,0.073070335,-1.007487963
