,rice_ph,rice_cec
IRIS_313-11449,NA,NA
IRIS_313-11451,71,360
IRIS_313-11452,64,354
IRIS_313-11453,NA,NA
IRIS_313-11454,NA,NA
IRIS_313-11455,NA,NA
IRIS_313-11456,NA,NA
IRIS_313-11458,72,283
IRIS_313-11460,72,283
IRIS_313-11461,72,283
IRIS_313-11462,60,213
IRIS_313-11489,75,146
IRIS_313-11490,52,217
IRIS_313-11492,72,283
IRIS_313-11493,53,178
IRIS_313-11494,53,221
IRIS_313-11505,72,283
IRIS_313-11506,72,283
IRIS_313-11595,73,369
IRIS_313-11596,69,244
IRIS_313-11597,74,404
IRIS_313-11598,68,394
IRIS_313-11599,72,348
IRIS_313-11600,74,380
IRIS_313-11602,73,420
IRIS_313-11603,73,344
IRIS_313-11604,74,390
IRIS_313-11606,74,404
IRIS_313-11607,74,404
IRIS_313-11616,71,201
IRIS_313-11617,71,201
IRIS_313-11618,71,201
IRIS_313-11619,71,201
IRIS_313-11620,71,201
IRIS_313-11621,71,201
IRIS_313-11636,72,283
IRIS_313-11638,72,283
IRIS_313-11639,72,283
IRIS_313-11640,72,283
IRIS_313-11641,72,283
IRIS_313-11642,72,283
IRIS_313-11643,72,283
IRIS_313-11644,72,283
IRIS_313-11645,72,283
IRIS_313-11646,72,283
IRIS_313-11647,72,283
IRIS_313-11648,72,283
IRIS_313-11650,72,283
IRIS_313-11712,72,283
IRIS_313-11737,73,369
IRIS_313-11738,62,350
IRIS_313-11742,72,283
IRIS_313-11821,72,283
IRIS_313-11822,72,283
IRIS_313-11823,72,283
IRIS_313-11824,72,283
IRIS_313-11825,72,283
IRIS_313-11826,72,283
IRIS_313-11827,72,283
IRIS_313-11828,72,283
IRIS_313-11917,74,370
IRIS_313-11918,69,394
IRIS_313-11919,74,370
IRIS_313-11969,71,201
IRIS_313-12013,72,283
IRIS_313-12052,59,177
IRIS_313-7736,72,283
IRIS_313-7780,72,283
IRIS_313-8265,72,283
IRIS_313-8303,60,274
IRIS_313-8305,72,283
IRIS_313-8386,NA,NA
IRIS_313-8435,71,201
IRIS_313-8498,50,203
IRIS_313-8530,72,283
IRIS_313-8568,64,354
IRIS_313-8614,72,283
IRIS_313-8631,76,121
IRIS_313-8704,78,211
IRIS_313-8727,72,283
IRIS_313-8731,74,370
IRIS_313-8754,72,223
IRIS_313-8757,74,404
IRIS_313-8796,74,370
IRIS_313-8813,NA,NA
IRIS_313-8920,74,404
IRIS_313-8924,NA,NA
IRIS_313-8986,NA,NA
IRIS_313-8988,73,444
IRIS_313-9137,50,203
IRIS_313-9176,50,203
IRIS_313-9201,56,210
IRIS_313-9258,60,274
IRIS_313-9313,NA,NA
IRIS_313-9360,72,283
IRIS_313-9384,61,231
IRIS_313-9392,51,180
IRIS_313-9400,72,283
IRIS_313-9403,71,162
IRIS_313-9424,NA,NA
IRIS_313-9484,71,427
IRIS_313-9492,72,283
IRIS_313-9516,72,283
IRIS_313-9547,60,274
IRIS_313-9557,59,177
IRIS_313-9605,71,201
IRIS_313-9609,NA,NA
IRIS_313-9610,73,316
IRIS_313-9611,NA,NA
IRIS_313-9629,72,283
IRGC_122298,49,226
IRGC_14413,53,265
IRGC_19972,49,222
IRGC_27129,49,222
IRGC_35834,54,207
IRGC_43322,48,248
IRGC_43369,48,248
IRGC_43372,53,190
IRGC_43394,NA,NA
IRGC_43400,47,199
IRGC_43540,47,199
IRGC_54333,58,154
IRGC_66640,47,208
IRGC_8260,49,222
IRGC_8261,49,222
IRGC_9147,49,222
IRIS_313-10152,50,186
IRIS_313-10689,50,206
IRIS_313-10690,55,257
IRIS_313-10692,48,147
IRIS_313-10693,53,245
IRIS_313-10738,49,222
IRIS_313-10739,49,222
IRIS_313-10740,49,222
IRIS_313-10741,49,222
IRIS_313-10742,49,222
IRIS_313-10743,49,222
IRIS_313-10744,49,222
IRIS_313-10745,49,222
IRIS_313-10746,49,222
IRIS_313-10747,49,222
IRIS_313-10758,60,217
IRIS_313-10759,NA,NA
IRIS_313-10760,53,177
IRIS_313-10761,54,207
IRIS_313-10762,46,196
IRIS_313-10765,54,207
IRIS_313-10766,54,207
IRIS_313-10767,49,229
IRIS_313-10768,49,204
IRIS_313-10769,49,204
IRIS_313-10770,49,222
IRIS_313-10771,60,217
IRIS_313-10772,NA,NA
IRIS_313-10773,47,199
IRIS_313-10774,54,207
IRIS_313-10775,54,207
IRIS_313-10776,60,217
IRIS_313-10777,54,207
IRIS_313-10778,49,204
IRIS_313-10779,46,196
IRIS_313-10780,49,229
IRIS_313-10781,NA,NA
IRIS_313-10782,54,207
IRIS_313-10783,54,207
IRIS_313-10784,NA,NA
IRIS_313-10785,NA,NA
IRIS_313-10786,53,206
IRIS_313-10787,49,204
IRIS_313-10788,54,207
IRIS_313-10789,NA,NA
IRIS_313-10790,60,217
IRIS_313-10791,54,207
IRIS_313-10792,49,119
IRIS_313-10793,NA,NA
IRIS_313-10794,49,229
IRIS_313-10795,NA,NA
IRIS_313-10796,NA,NA
IRIS_313-10797,46,196
IRIS_313-10798,53,210
IRIS_313-10799,50,143
IRIS_313-10800,NA,NA
IRIS_313-10801,55,193
IRIS_313-10802,54,207
IRIS_313-10803,56,150
IRIS_313-10804,49,204
IRIS_313-10805,53,177
IRIS_313-10806,49,204
IRIS_313-10807,47,174
IRIS_313-10808,NA,NA
IRIS_313-10809,NA,NA
IRIS_313-10810,54,207
IRIS_313-10811,54,207
IRIS_313-10812,49,229
IRIS_313-10813,49,204
IRIS_313-10814,48,151
IRIS_313-10815,46,175
IRIS_313-10816,49,229
IRIS_313-10817,NA,NA
IRIS_313-10818,46,196
IRIS_313-10819,54,207
IRIS_313-10820,54,207
IRIS_313-10821,54,207
IRIS_313-10822,47,199
IRIS_313-10823,46,196
IRIS_313-10824,49,222
IRIS_313-10841,49,222
IRIS_313-10842,49,222
IRIS_313-10844,49,222
IRIS_313-10935,48,151
IRIS_313-10936,48,248
IRIS_313-10937,46,160
IRIS_313-10938,47,200
IRIS_313-10940,47,200
IRIS_313-10941,47,200
IRIS_313-10942,47,199
IRIS_313-10943,50,278
IRIS_313-10944,47,169
IRIS_313-10945,49,222
IRIS_313-10946,49,222
IRIS_313-10950,49,222
IRIS_313-10951,48,151
IRIS_313-10952,48,248
IRIS_313-10953,55,231
IRIS_313-10954,51,299
IRIS_313-10955,53,265
IRIS_313-10956,48,151
IRIS_313-10957,48,248
IRIS_313-10958,48,248
IRIS_313-10959,49,222
IRIS_313-10960,46,196
IRIS_313-10961,46,196
IRIS_313-10962,46,196
IRIS_313-10995,53,265
IRIS_313-10996,51,224
IRIS_313-10997,49,222
IRIS_313-10998,49,222
IRIS_313-10999,NA,NA
IRIS_313-11000,49,222
IRIS_313-11001,51,162
IRIS_313-11003,52,226
IRIS_313-11004,52,226
IRIS_313-11005,53,168
IRIS_313-11006,53,168
IRIS_313-11007,50,194
IRIS_313-11008,53,238
IRIS_313-11009,53,177
IRIS_313-11010,54,200
IRIS_313-11011,49,222
IRIS_313-11012,49,222
IRIS_313-11117,47,217
IRIS_313-11162,56,172
IRIS_313-11177,NA,NA
IRIS_313-11178,47,199
IRIS_313-11179,48,151
IRIS_313-11180,47,199
IRIS_313-11181,48,151
IRIS_313-11182,49,222
IRIS_313-11183,NA,NA
IRIS_313-11311,53,190
IRIS_313-11312,47,184
IRIS_313-11313,48,248
IRIS_313-11314,47,184
IRIS_313-11315,48,248
IRIS_313-11316,47,184
IRIS_313-11317,48,151
IRIS_313-11318,53,177
IRIS_313-11319,51,243
IRIS_313-11320,54,232
IRIS_313-11394,NA,NA
IRIS_313-11395,NA,NA
IRIS_313-11397,53,196
IRIS_313-11398,NA,NA
IRIS_313-11495,61,176
IRIS_313-11496,61,179
IRIS_313-11497,59,182
IRIS_313-11498,62,205
IRIS_313-11499,59,147
IRIS_313-11500,60,155
IRIS_313-11717,NA,NA
IRIS_313-11970,53,265
IRIS_313-11971,52,225
IRIS_313-12027,48,217
IRIS_313-12045,50,208
IRIS_313-12046,50,208
IRIS_313-12047,NA,NA
IRIS_313-12048,NA,NA
IRIS_313-12068,50,208
IRIS_313-12069,49,183
IRIS_313-7883,54,250
IRIS_313-7885,53,190
IRIS_313-8291,54,202
IRIS_313-8314,54,207
IRIS_313-8324,49,222
IRIS_313-8368,54,207
IRIS_313-8436,46,196
IRIS_313-8457,49,266
IRIS_313-8493,51,259
IRIS_313-8536,47,184
IRIS_313-8608,NA,NA
IRIS_313-8643,46,175
IRIS_313-8664,50,198
IRIS_313-8713,NA,NA
IRIS_313-8725,53,251
IRIS_313-8744,54,207
IRIS_313-8767,54,202
IRIS_313-8812,59,172
IRIS_313-8831,51,231
IRIS_313-8833,48,151
IRIS_313-8865,48,253
IRIS_313-8922,48,248
IRIS_313-8956,49,222
IRIS_313-8978,51,247
IRIS_313-8998,47,208
IRIS_313-9005,49,222
IRIS_313-9054,47,200
IRIS_313-9097,55,239
IRIS_313-9098,52,304
IRIS_313-9117,49,204
IRIS_313-9129,49,222
IRIS_313-9188,48,265
IRIS_313-9208,47,199
IRIS_313-9239,54,232
IRIS_313-9242,46,175
IRIS_313-9251,47,184
IRIS_313-9273,49,222
IRIS_313-9301,60,155
IRIS_313-9310,52,304
IRIS_313-9314,53,177
IRIS_313-9320,49,222
IRIS_313-9405,53,190
IRIS_313-9470,50,198
IRIS_313-9590,53,141
IRIS_313-9691,NA,NA
IRGC_12731,57,184
IRGC_14779,57,184
IRGC_40252,57,184
IRGC_410,57,184
IRGC_8191,57,184
IRGC_8257,57,184
IRIS_313-10071,57,184
IRIS_313-10073,57,184
IRIS_313-10074,57,184
IRIS_313-10075,57,184
IRIS_313-10076,57,184
IRIS_313-10077,57,184
IRIS_313-10078,57,184
IRIS_313-10079,57,184
IRIS_313-10080,57,184
IRIS_313-10082,57,184
IRIS_313-10469,57,184
IRIS_313-10569,57,184
IRIS_313-10642,57,184
IRIS_313-11725,57,184
IRIS_313-8755,57,184
IRIS_313-9002,57,184
IRIS_313-9081,57,184
IRIS_313-9800,57,184
IRIS_313-9884,57,184
IRIS_313-10651,NA,NA
IRIS_313-10652,NA,NA
IRIS_313-10653,55,202
IRIS_313-10654,NA,NA
IRIS_313-10655,58,163
IRIS_313-10656,58,163
IRIS_313-10657,56,151
IRIS_313-10659,57,151
IRIS_313-10660,57,151
IRIS_313-10679,54,188
IRIS_313-10680,54,229
IRIS_313-10681,53,110
IRIS_313-10682,56,164
IRIS_313-10683,57,144
IRIS_313-10921,NA,NA
IRIS_313-11071,53,178
IRIS_313-11072,54,169
IRIS_313-11073,56,205
IRIS_313-11074,NA,NA
IRIS_313-11075,NA,NA
IRIS_313-11076,54,168
IRIS_313-11077,54,169
IRIS_313-11078,55,174
IRIS_313-11079,54,169
IRIS_313-11080,NA,NA
IRIS_313-11081,54,169
IRIS_313-11082,54,169
IRIS_313-11083,57,151
IRIS_313-11085,56,199
IRIS_313-11086,NA,NA
IRIS_313-11090,NA,NA
IRIS_313-11091,57,151
IRIS_313-11092,53,178
IRIS_313-11093,54,178
IRIS_313-11094,NA,NA
IRIS_313-11095,57,151
IRIS_313-11991,53,202
IRIS_313-11992,52,194
IRIS_313-12028,53,202
IRIS_313-12029,NA,NA
IRIS_313-12049,57,146
IRIS_313-12071,54,169
IRIS_313-12076,57,162
IRIS_313-12077,56,205
IRIS_313-12121,60,196
IRIS_313-12127,58,144
IRIS_313-12128,58,144
IRIS_313-12129,NA,NA
IRIS_313-12130,56,191
IRIS_313-12131,56,129
IRIS_313-12133,55,159
IRIS_313-12134,60,196
IRIS_313-12190,51,191
IRIS_313-12193,NA,NA
IRIS_313-12194,60,196
IRIS_313-12207,51,191
IRIS_313-12220,56,127
IRIS_313-12221,56,127
IRIS_313-12222,58,144
IRIS_313-12224,56,127
IRIS_313-12225,55,159
IRIS_313-12226,52,194
IRIS_313-12227,58,144
IRIS_313-12228,58,178
IRIS_313-12229,52,194
IRIS_313-12231,56,127
IRIS_313-12242,51,225
IRIS_313-12252,55,186
IRIS_313-12254,52,186
IRIS_313-12257,54,192
IRIS_313-12258,51,191
IRIS_313-12259,58,195
IRIS_313-12260,55,159
IRIS_313-12261,58,171
IRIS_313-12262,54,192
IRIS_313-12263,58,172
IRIS_313-12265,52,186
IRIS_313-12297,58,171
IRIS_313-12299,55,138
IRIS_313-12300,52,211
IRIS_313-12301,51,225
IRIS_313-12302,52,223
IRIS_313-12303,NA,NA
IRIS_313-12305,57,148
IRIS_313-12307,54,197
IRIS_313-12308,55,159
IRIS_313-12309,54,151
IRIS_313-12311,51,191
IRIS_313-12312,53,204
IRIS_313-12313,58,171
IRIS_313-12321,56,157
IRIS_313-12329,56,149
IRIS_313-12332,51,173
IRIS_313-12334,59,159
IRIS_313-12336,54,201
IRIS_313-12337,52,191
IRIS_313-12341,52,205
IRIS_313-12342,55,178
