"species","gene","pvalue"
"arabidopsis","AT1G19510",1.120001e-06
"arabidopsis","AT5G65685",1.151769e-06
"arabidopsis","AT5G65700",1.151769e-06
"arabidopsis","AT5G65710",1.151769e-06
"arabidopsis","AT5G65720",1.151769e-06
"arabidopsis","AT5G65730",1.151769e-06
"arabidopsis","AT5G65740",1.151769e-06
"arabidopsis","AT5G65750",1.151769e-06
"arabidopsis","AT5G65760",1.151769e-06
"arabidopsis","AT5G65770",1.151769e-06
"arabidopsis","AT5G65780",1.151769e-06
"arabidopsis","AT5G65790",1.151769e-06
"arabidopsis","AT2G15440",1.18134e-06
"arabidopsis","AT2G15450",1.18134e-06
"arabidopsis","AT5G08565",1.388667e-06
"arabidopsis","AT5G08570",1.388667e-06
"arabidopsis","AT5G08580",1.388667e-06
"arabidopsis","AT5G08590",1.388667e-06
"arabidopsis","AT5G08600",1.388667e-06
"arabidopsis","AT5G08610",1.388667e-06
"arabidopsis","AT5G08620",1.388667e-06
"arabidopsis","AT2G17650",1.507401e-06
"arabidopsis","AT2G17660",1.507401e-06
"arabidopsis","AT2G17670",1.507401e-06
"arabidopsis","AT2G17680",1.507401e-06
"arabidopsis","AT2G17690",1.507401e-06
"arabidopsis","AT2G17695",1.507401e-06
"arabidopsis","AT2G17700",1.507401e-06
"arabidopsis","AT2G17705",1.507401e-06
"arabidopsis","AT2G17710",1.507401e-06
"arabidopsis","AT2G17720",1.507401e-06
"arabidopsis","AT2G17723",1.507401e-06
"arabidopsis","AT2G17730",1.507401e-06
"arabidopsis","AT2G17740",1.507401e-06
"arabidopsis","AT2G17750",1.507401e-06
"arabidopsis","AT2G17760",1.507401e-06
"arabidopsis","AT5G65930",1.517907e-06
"arabidopsis","AT5G65940",1.517907e-06
"arabidopsis","AT5G65950",1.517907e-06
"arabidopsis","AT5G65960",1.517907e-06
"arabidopsis","AT5G65970",1.517907e-06
"arabidopsis","AT5G65980",1.517907e-06
"arabidopsis","AT5G65990",1.517907e-06
"arabidopsis","AT5G66000",1.517907e-06
"arabidopsis","AT5G66005",1.517907e-06
"arabidopsis","AT5G66010",1.517907e-06
"arabidopsis","AT5G66020",1.517907e-06
"arabidopsis","AT5G66030",1.517907e-06
"arabidopsis","AT5G66040",1.517907e-06
"arabidopsis","AT5G66045",1.517907e-06
"arabidopsis","AT5G66050",1.517907e-06
"arabidopsis","AT5G66052",1.517907e-06
"arabidopsis","AT5G66053",1.517907e-06
"arabidopsis","AT5G66055",1.517907e-06
"arabidopsis","AT5G66060",1.517907e-06
"arabidopsis","AT5G66070",1.517907e-06
"arabidopsis","AT4G03280",1.522065e-06
"arabidopsis","AT4G03285",1.522065e-06
"arabidopsis","AT4G03290",1.522065e-06
"arabidopsis","AT4G03292",1.522065e-06
"arabidopsis","AT4G03295",1.522065e-06
"arabidopsis","AT4G03298",1.522065e-06
"arabidopsis","AT4G03320",1.522065e-06
"arabidopsis","AT4G03330",1.522065e-06
"arabidopsis","AT4G03340",1.522065e-06
"arabidopsis","AT4G03350",1.522065e-06
"arabidopsis","AT4G03360",1.522065e-06
"arabidopsis","AT4G03370",1.522065e-06
"arabidopsis","AT2G14060",1.744773e-06
"arabidopsis","AT2G14070",1.744773e-06
"arabidopsis","AT2G14080",1.744773e-06
"arabidopsis","AT2G14095",1.744773e-06
"arabidopsis","AT2G14100",1.744773e-06
"arabidopsis","AT5G59710",2.030564e-06
"arabidopsis","AT5G59720",2.030564e-06
"arabidopsis","AT5G07870",2.27538e-06
"arabidopsis","AT5G07880",2.27538e-06
"arabidopsis","AT5G07890",2.27538e-06
"arabidopsis","AT5G07900",2.27538e-06
"arabidopsis","AT5G07910",2.27538e-06
"arabidopsis","AT5G07920",2.27538e-06
"arabidopsis","AT5G66080",2.924644e-06
"arabidopsis","AT5G66090",2.924644e-06
"arabidopsis","AT5G66100",2.924644e-06
"arabidopsis","AT5G66110",2.924644e-06
"arabidopsis","AT5G66120",2.924644e-06
"arabidopsis","AT5G66130",2.924644e-06
"arabidopsis","AT5G66140",2.924644e-06
"arabidopsis","AT5G66150",2.924644e-06
"arabidopsis","AT5G65380",3.019409e-06
"arabidopsis","AT5G65390",3.019409e-06
"arabidopsis","AT5G65400",3.019409e-06
"arabidopsis","AT5G65410",3.019409e-06
"arabidopsis","AT5G65420",3.019409e-06
"arabidopsis","AT5G65430",3.019409e-06
"arabidopsis","AT5G65440",3.019409e-06
"arabidopsis","AT5G65445",3.019409e-06
"arabidopsis","AT5G65450",3.019409e-06
"arabidopsis","AT5G65460",3.019409e-06
"arabidopsis","AT5G65470",3.019409e-06
"arabidopsis","AT2G02700",3.159949e-06
"arabidopsis","AT2G02710",3.159949e-06
"arabidopsis","AT2G02720",3.159949e-06
"arabidopsis","AT2G02730",3.159949e-06
"arabidopsis","AT2G02740",3.159949e-06
"arabidopsis","AT2G02741",3.159949e-06
"arabidopsis","AT2G02750",3.159949e-06
"arabidopsis","AT2G02760",3.159949e-06
"arabidopsis","AT2G02770",3.159949e-06
"arabidopsis","AT2G02780",3.159949e-06
"arabidopsis","AT2G02790",3.159949e-06
"arabidopsis","AT2G02795",3.159949e-06
"arabidopsis","AT2G02800",3.159949e-06
"arabidopsis","AT2G02810",3.159949e-06
"arabidopsis","AT2G02820",3.159949e-06
