"Lines","Long","Lat","crop","n_value","log_n"
"PLS155",-17.0877778,14.6391667,"pearl_millet",120,2.07918124604762
"PLS70",-16.5052667,14.6403833,"pearl_millet",113,2.05307844348342
"PLS94",-16.4346972,14.6417722,"pearl_millet",79,1.89762709129044
"PLS93",-16.3234063,14.6453144,"pearl_millet",69,1.83884909073726
"PLS84",-16.3363167,14.6623333,"pearl_millet",74,1.86923171973098
"PLS107",-16.3333333,14.6666667,"pearl_millet",74,1.86923171973098
"PLS69",-16.5333333,14.6666667,"pearl_millet",118,2.07188200730613
"PLS89",-16.3530667,14.6749667,"pearl_millet",78,1.89209460269048
"PLS159",-16.85,14.6833333,"pearl_millet",72,1.85733249643127
"PLS160",-16.7166667,14.6833333,"pearl_millet",80,1.90308998699194
"PLS161",-16.65,14.6833333,"pearl_millet",110,2.04139268515822
"PLS92",-16.47535,14.6869,"pearl_millet",101,2.00432137378264
"PLS158",-16.95,14.7,"pearl_millet",137,2.13672056715641
"PLS68",-16.5211833,14.71015,"pearl_millet",112,2.04921802267018
"PLS130",-15.8333333,14.7166667,"pearl_millet",67,1.82607480270083
"PLS72",-16.5672833,14.7211167,"pearl_millet",105,2.02118929906994
"PLS77",-16.5631333,14.7219833,"pearl_millet",125,2.09691001300806
"PLS127",-15.8300472,14.7227944,"pearl_millet",65,1.81291335664286
"PLS131",-16,14.7333333,"pearl_millet",89,1.94939000664491
"PLS201",-16.4166667,14.7333333,"pearl_millet",114,2.05690485133647
"PLS87",-16.4,14.7333333,"pearl_millet",101,2.00432137378264
"PLS101",-16.1095806,14.7399028,"pearl_millet",79,1.89762709129044
"PLS85",-16.3833333,14.75,"pearl_millet",71,1.85125834871908
"PLS103",-16.3499821,14.754799,"pearl_millet",94,1.9731278535997
"PLS73",-16.5764167,14.7609667,"pearl_millet",100,2
"PLS79",-16.7972333,14.7638833,"pearl_millet",NA,NA
"PLS111",-16.3,14.7666667,"pearl_millet",102,2.00860017176192
"PLS71",-16.6333333,14.7666667,"pearl_millet",128,2.10720996964787
"PLS82",-16.45,14.7666667,"pearl_millet",103,2.01283722470517
"PLS207",-16.5331047,14.771725,"pearl_millet",75,1.8750612633917
"PLS203",-16.5334667,14.7727167,"pearl_millet",75,1.8750612633917
"PLS199",-16.5334667,14.7727169,"pearl_millet",75,1.8750612633917
"PLS206",-16.5334667,14.772718,"pearl_millet",75,1.8750612633917
"PLS74",-16.6055667,14.7922833,"pearl_millet",80,1.90308998699194
"PLS214",-16.5469693,14.7974192,"pearl_millet",97,1.98677173426624
"PLS213",-16.5469693,14.7974194,"pearl_millet",97,1.98677173426624
"PLS212",-16.5469833,14.7981,"pearl_millet",97,1.98677173426624
"PLS120",-16.0166667,14.8,"pearl_millet",71,1.85125834871908
"PLS200",-16.5528833,14.8021244,"pearl_millet",97,1.98677173426624
"PLS220",-16.5528833,14.8021248,"pearl_millet",97,1.98677173426624
"PLS75",-16.5363111,14.8023333,"pearl_millet",92,1.96378782734556
"PLS209",-16.57075,14.8056833,"pearl_millet",66,1.81954393554187
"PLS83",-16.4113611,14.8144917,"pearl_millet",62,1.79239168949825
"PLS153",-16.7666667,14.8166667,"pearl_millet",104,2.01703333929878
"PLS217",-16.4457722,14.819375,"pearl_millet",102,2.00860017176192
"PLS211",-16.4164,14.82355,"pearl_millet",77,1.88649072517248
