"Lines","Long","Lat","crop","aridity_index_raw","aridity_index"
"BRIDGE_HOR_2007",16.78305556,39.23305556,"barley",6826,0.6826
"BRIDGE_HOR_10234",16.8,39.06638889,"barley",6219,0.6219
"BRIDGE_HOR_10827",16.8,40.61638889,"barley",4865,0.4865
"BRIDGE_HOR_2006",17.13305556,39.08305556,"barley",4615,0.4615
"BRIDGE_HOR_11120",17.33305556,40.75,"barley",4472,0.4472
"BRIDGE_HOR_7336",17.40555556,48.73555556,"barley",7117,0.7117
"BRIDGE_HOR_7392",17.40555556,48.73555556,"barley",7117,0.7117
"BRIDGE_HOR_9646",17.44027778,48.74222222,"barley",7343,0.7343
"BRIDGE_HOR_9647",17.44027778,48.74222222,"barley",7343,0.7343
"BRIDGE_HOR_9648",17.44555556,48.73833333,"barley",7325,0.7325
"BRIDGE_HOR_9653",17.45277778,48.73388889,"barley",7437,0.7437
"BRIDGE_HOR_9651",17.46444444,48.73388889,"barley",7493,0.7493
"BRIDGE_HOR_9652",17.46444444,48.73388889,"barley",7493,0.7493
"BRIDGE_HOR_9248",17.47305556,40.73777778,"barley",4250,0.425
"BRIDGE_HOR_7334",17.48333333,48.86638889,"barley",7035,0.7035
"BRIDGE_HOR_7335",17.48333333,48.86638889,"barley",7035,0.7035
"BRIDGE_HOR_10828",17.50638889,40.45,"barley",3864,0.3864
"BRIDGE_HOR_10831",17.50638889,40.45,"barley",3864,0.3864
"BRIDGE_HOR_9252",17.54666667,40.73305556,"barley",4129,0.4129
"BRIDGE_HOR_9636",17.56305556,49.04916667,"barley",6568,0.6568
"BRIDGE_HOR_9637",17.56305556,49.04916667,"barley",6568,0.6568
"BRIDGE_HOR_9638",17.56305556,49.04916667,"barley",6568,0.6568
"BRIDGE_HOR_9639",17.56305556,49.04916667,"barley",6568,0.6568
"BRIDGE_HOR_9640",17.56305556,49.04916667,"barley",6568,0.6568
"BRIDGE_HOR_9641",17.57333333,49.02944444,"barley",6647,0.6647
"BRIDGE_HOR_9642",17.57333333,49.02944444,"barley",6647,0.6647
"BRIDGE_HOR_9643",17.57333333,49.02944444,"barley",6647,0.6647
"BRIDGE_HOR_9655",17.79527778,48.87916667,"barley",7301,0.7301
"BRIDGE_HOR_9670",17.81805556,48.93722222,"barley",9342,0.9342
"BRIDGE_HOR_9671",17.81805556,48.93722222,"barley",9342,0.9342
"BRIDGE_HOR_9656",17.81833333,48.91611111,"barley",8131,0.8131
"BRIDGE_HOR_9657",17.81833333,48.91611111,"barley",8131,0.8131
"BRIDGE_HOR_9658",17.81833333,48.91611111,"barley",8131,0.8131
"BRIDGE_HOR_9659",17.81833333,48.91611111,"barley",8131,0.8131
"BRIDGE_HOR_9660",17.81833333,48.91611111,"barley",8131,0.8131
"BRIDGE_HOR_9645",17.8375,48.93694444,"barley",9529,0.9529
"BRIDGE_HOR_9661",17.8375,48.93694444,"barley",9529,0.9529
"BRIDGE_HOR_9662",17.8375,48.93694444,"barley",9529,0.9529
"BRIDGE_HOR_9663",17.8375,48.93694444,"barley",9529,0.9529
"BRIDGE_HOR_9664",17.8375,48.93694444,"barley",9529,0.9529
"BRIDGE_HOR_9665",17.8375,48.93694444,"barley",9529,0.9529
"BRIDGE_HOR_9666",17.8375,48.93694444,"barley",9529,0.9529
"BRIDGE_HOR_9667",17.8375,48.93694444,"barley",9529,0.9529
"BRIDGE_HOR_9668",17.8375,48.93694444,"barley",9529,0.9529
"BRIDGE_HOR_9669",17.8375,48.93694444,"barley",9529,0.9529
"BRIDGE_HOR_8613",17.86305556,48.96638889,"barley",7974,0.7974
"BRIDGE_HOR_9685",17.93722222,48.92166667,"barley",7586,0.7586
"BRIDGE_HOR_9672",17.95638889,48.98,"barley",8237,0.8237
"BRIDGE_HOR_9673",17.95638889,48.98,"barley",8237,0.8237
"BRIDGE_HOR_9682",17.95694444,48.89361111,"barley",6726,0.6726
"BRIDGE_HOR_9683",17.95694444,48.89361111,"barley",6726,0.6726
"BRIDGE_HOR_9684",17.95694444,48.89361111,"barley",6726,0.6726
"BRIDGE_HOR_9674",17.97833333,49,"barley",8529,0.8529
"BRIDGE_HOR_9675",17.97833333,49,"barley",8529,0.8529
"BRIDGE_HOR_9676",17.97833333,49,"barley",8529,0.8529
"BRIDGE_HOR_9677",17.97833333,49,"barley",8529,0.8529
"BRIDGE_HOR_9678",17.97833333,49,"barley",8529,0.8529
"BRIDGE_HOR_7383",18.16166667,49.46611111,"barley",9322,0.9322
"BRIDGE_HOR_9681",18.16333333,48.85027778,"barley",7535,0.7535
"BRIDGE_HOR_9679",18.17638889,48.87,"barley",7821,0.7821
"BRIDGE_HOR_9680",18.17638889,48.87,"barley",7821,0.7821
"BRIDGE_HOR_10829",18.2,40.18305556,"barley",4066,0.4066
"BRIDGE_HOR_10830",18.2,40.18305556,"barley",4066,0.4066
"BRIDGE_HOR_9692",18.21083333,49.14361111,"barley",9395,0.9395
"BRIDGE_HOR_9693",18.21083333,49.14361111,"barley",9395,0.9395
"BRIDGE_HOR_7384",18.21916667,49.42972222,"barley",9991,0.9991
"BRIDGE_HOR_7385",18.21916667,49.42972222,"barley",9991,0.9991
