,maize_cec
SEEDGWAS1407:MRG:4:250105305,137
SEEDGWAS1408:MRG:4:250105306,NA
SEEDGWAS1409:MRG:4:250105307,247
SEEDGWAS141:MRG:4:250056108,201
SEEDGWAS1410:MRG:4:250105308,284
SEEDGWAS1411:MRG:4:250105309,92
SEEDGWAS1412:MRG:4:250105310,NA
SEEDGWAS1413:MRG:4:250105311,100
SEEDGWAS1414:MRG:4:250105312,148
SEEDGWAS1415:MRG:4:250105313,NA
SEEDGWAS1416:MRG:4:250105314,146
SEEDGWAS1417:MRG:4:250105315,100
SEEDGWAS1418:MRG:4:250105316,110
SEEDGWAS142:MRG:4:250056109,NA
SEEDGWAS1421:MRG:4:250105317,137
SEEDGWAS1422:MRG:4:250105318,116
SEEDGWAS1424:MRG:4:250105320,NA
SEEDGWAS1427:MRG:4:250105322,164
SEEDGWAS1428:MRG:4:250105323,222
SEEDGWAS1429:MRG:4:250105324,185
SEEDGWAS143:MRG:4:250056110,313
SEEDGWAS1430:MRG:4:250105325,233
SEEDGWAS1431:MRG:4:250105326,NA
SEEDGWAS1432:MRG:4:250105327,247
SEEDGWAS1434:MRG:4:250105328,NA
SEEDGWAS1435:MRG:4:250105329,209
SEEDGWAS1436:MRG:4:250105330,271
SEEDGWAS1437:MRG:4:250105332,193
SEEDGWAS1438:MRG:4:250105333,237
SEEDGWAS1439:MRG:4:250105334,NA
SEEDGWAS144:MRG:4:250056111,NA
SEEDGWAS1440:MRG:4:250105335,NA
SEEDGWAS1441:MRG:4:250070383,247
SEEDGWAS1442:MRG:4:250070384,283
SEEDGWAS1443:MRG:4:250070385,402
SEEDGWAS1457:MRG:4:250070397,125
SEEDGWAS1458:MRG:4:250070398,284
SEEDGWAS1460:MRG:4:250070400,225
SEEDGWAS1463:MRG:4:250070403,214
SEEDGWAS1464:MRG:4:250070404,197
SEEDGWAS1465:MRG:4:250070405,197
SEEDGWAS1466:MRG:4:250070406,213
SEEDGWAS1467:MRG:4:250070407,270
SEEDGWAS1468:MRG:4:250070408,190
SEEDGWAS1469:MRG:4:250070409,216
SEEDGWAS1470:MRG:4:250070410,126
SEEDGWAS1472:MRG:4:250070412,92
SEEDGWAS1473:MRG:4:250070413,91
SEEDGWAS1474:MRG:4:250070414,227
SEEDGWAS1476:MRG:4:250070415,227
SEEDGWAS1477:MRG:4:250070416,226
SEEDGWAS1478:MRG:4:250070417,202
SEEDGWAS1479:MRG:4:250070418,202
SEEDGWAS148:MRG:4:250056114,271
SEEDGWAS1481:MRG:4:250070419,197
SEEDGWAS1482:MRG:4:250070420,251
SEEDGWAS1483:MRG:4:250070421,251
SEEDGWAS1484:MRG:4:250070422,251
SEEDGWAS1485:MRG:4:250070423,182
SEEDGWAS1486:MRG:4:250070424,189
SEEDGWAS1487:MRG:4:250070425,182
SEEDGWAS1488:MRG:4:250070426,229
SEEDGWAS149:MRG:4:250056115,NA
SEEDGWAS1490:MRG:4:250070427,210
SEEDGWAS1492:MRG:4:250070428,205
SEEDGWAS1493:MRG:4:250070429,210
SEEDGWAS1494:MRG:4:250070430,253
SEEDGWAS1495:MRG:4:250070431,236
SEEDGWAS1496:MRG:4:250070432,240
SEEDGWAS1497:MRG:4:250070433,116
SEEDGWAS1498:MRG:4:250070434,107
SEEDGWAS15:MRG:4:250054457,226
SEEDGWAS150:MRG:4:250056116,202
SEEDGWAS1500:MRG:4:250070435,NA
SEEDGWAS1501:MRG:4:250070436,NA
SEEDGWAS1503:MRG:4:250070437,109
SEEDGWAS1506:MRG:4:250070438,210
SEEDGWAS1507:MRG:4:250070439,NA
SEEDGWAS1508:MRG:4:250070440,143
SEEDGWAS1512:MRG:4:250070441,104
SEEDGWAS1513:MRG:4:250070442,176
SEEDGWAS1516:MRG:4:250070444,184
SEEDGWAS1517:MRG:4:250070445,172
SEEDGWAS1518:MRG:4:250070446,184
SEEDGWAS1519:MRG:4:250070447,172
SEEDGWAS152:MRG:4:250056118,192
SEEDGWAS153:MRG:4:250056119,212
SEEDGWAS1543:MRG:4:250070466,236
SEEDGWAS1545:MRG:4:250070467,175
SEEDGWAS155:MRG:4:250056120,226
SEEDGWAS1550:MRG:4:250070470,143
SEEDGWAS1551:MRG:4:250070471,152
SEEDGWAS1552:MRG:4:250070472,222
SEEDGWAS1553:MRG:4:250070473,203
SEEDGWAS1554:MRG:4:250070474,237
SEEDGWAS1557:MRG:4:250070477,312
SEEDGWAS156:MRG:4:250056121,NA
SEEDGWAS1560:MRG:4:250070478,221
SEEDGWAS1561:MRG:4:250070510,244
SEEDGWAS1564:MRG:4:250070514,158
SEEDGWAS1565:MRG:4:250070515,203
SEEDGWAS1566:MRG:4:250070516,170
SEEDGWAS157:MRG:4:250056122,213
SEEDGWAS1572:MRG:4:250070521,NA
SEEDGWAS1573:MRG:4:250070522,122
SEEDGWAS1574:MRG:4:250070523,122
SEEDGWAS1577:MRG:4:250070526,193
SEEDGWAS1578:MRG:4:250070527,NA
SEEDGWAS1579:MRG:4:250070528,183
SEEDGWAS158:MRG:4:250056123,222
SEEDGWAS1580:MRG:4:250070529,247
SEEDGWAS1581:MRG:4:250070530,158
SEEDGWAS160:MRG:4:250056124,NA
SEEDGWAS1604:MRG:4:250070553,312
SEEDGWAS1605:MRG:4:250070554,212
SEEDGWAS1607:MRG:4:250070555,222
SEEDGWAS1608:MRG:4:250070556,NA
SEEDGWAS1609:MRG:4:250070557,NA
SEEDGWAS1610:MRG:4:250070558,208
SEEDGWAS1611:MRG:4:250070559,167
SEEDGWAS162:MRG:4:250056125,195
SEEDGWAS163:MRG:4:250056127,187
SEEDGWAS1631:MRG:4:250070569,237
