,rice_cec
IRGC_8261,222
IRGC_9147,222
IRIS_313-10152,186
IRIS_313-10689,206
IRIS_313-10690,257
IRIS_313-10692,147
IRIS_313-10693,245
IRIS_313-10738,222
IRIS_313-10739,222
IRIS_313-10740,222
IRIS_313-10741,222
IRIS_313-10742,222
IRIS_313-10743,222
IRIS_313-10744,222
IRIS_313-10745,222
IRIS_313-10746,222
IRIS_313-10747,222
IRIS_313-10758,217
IRIS_313-10759,NA
IRIS_313-10760,177
IRIS_313-10761,207
IRIS_313-10762,196
IRIS_313-10765,207
IRIS_313-10766,207
IRIS_313-10767,229
IRIS_313-10768,204
IRIS_313-10769,204
IRIS_313-10770,222
IRIS_313-10771,217
IRIS_313-10772,NA
IRIS_313-10773,199
IRIS_313-10774,207
IRIS_313-10775,207
IRIS_313-10776,217
IRIS_313-10777,207
IRIS_313-10778,204
IRIS_313-10779,196
IRIS_313-10780,229
IRIS_313-10781,NA
IRIS_313-10782,207
IRIS_313-10783,207
IRIS_313-10784,NA
IRIS_313-10785,NA
IRIS_313-10786,206
IRIS_313-10787,204
IRIS_313-10788,207
IRIS_313-10789,NA
IRIS_313-10790,217
IRIS_313-10791,207
IRIS_313-10792,119
IRIS_313-10793,NA
IRIS_313-10794,229
IRIS_313-10795,NA
IRIS_313-10796,NA
IRIS_313-10797,196
IRIS_313-10798,210
IRIS_313-10799,143
IRIS_313-10800,NA
IRIS_313-10801,193
IRIS_313-10802,207
IRIS_313-10803,150
IRIS_313-10804,204
IRIS_313-10805,177
IRIS_313-10806,204
IRIS_313-10807,174
IRIS_313-10808,NA
IRIS_313-10809,NA
IRIS_313-10810,207
IRIS_313-10811,207
IRIS_313-10812,229
IRIS_313-10813,204
IRIS_313-10814,151
IRIS_313-10815,175
IRIS_313-10816,229
IRIS_313-10817,NA
IRIS_313-10818,196
IRIS_313-10819,207
IRIS_313-10820,207
IRIS_313-10821,207
IRIS_313-10822,199
IRIS_313-10823,196
IRIS_313-10824,222
IRIS_313-10841,222
IRIS_313-10842,222
IRIS_313-10844,222
IRIS_313-10935,151
IRIS_313-10936,248
IRIS_313-10937,160
IRIS_313-10938,200
IRIS_313-10940,200
IRIS_313-10941,200
IRIS_313-10942,199
IRIS_313-10943,278
IRIS_313-10944,169
IRIS_313-10945,222
IRIS_313-10946,222
IRIS_313-10950,222
IRIS_313-10951,151
IRIS_313-10952,248
IRIS_313-10953,231
IRIS_313-10954,299
IRIS_313-10955,265
IRIS_313-10956,151
IRIS_313-10957,248
IRIS_313-10958,248
IRIS_313-10959,222
IRIS_313-10960,196
IRIS_313-10961,196
IRIS_313-10962,196
IRIS_313-10995,265
IRIS_313-10996,224
IRIS_313-10997,222
IRIS_313-10998,222
IRIS_313-10999,NA
IRIS_313-11000,222
IRIS_313-11001,162
IRIS_313-11003,226
IRIS_313-11004,226
IRIS_313-11005,168
IRIS_313-11006,168
IRIS_313-11007,194
IRIS_313-11008,238
IRIS_313-11009,177
IRIS_313-11010,200
IRIS_313-11011,222
IRIS_313-11012,222
IRIS_313-11117,217
IRIS_313-11162,172
IRIS_313-11177,NA
IRIS_313-11178,199
IRIS_313-11179,151
IRIS_313-11180,199
IRIS_313-11181,151
IRIS_313-11182,222
IRIS_313-11183,NA
IRIS_313-11311,190
IRIS_313-11312,184
IRIS_313-11313,248
IRIS_313-11314,184
IRIS_313-11315,248
IRIS_313-11316,184
IRIS_313-11317,151
IRIS_313-11318,177
IRIS_313-11319,243
IRIS_313-11320,232
IRIS_313-11394,NA
IRIS_313-11395,NA
IRIS_313-11397,196
IRIS_313-11398,NA
IRIS_313-11495,176
IRIS_313-11496,179
IRIS_313-11497,182
IRIS_313-11498,205
IRIS_313-11499,147
IRIS_313-11500,155
IRIS_313-11717,NA
IRIS_313-11970,265
IRIS_313-11971,225
IRIS_313-12027,217
IRIS_313-12045,208
IRIS_313-12046,208
IRIS_313-12047,NA
IRIS_313-12048,NA
IRIS_313-12068,208
IRIS_313-12069,183
IRIS_313-7883,250
IRIS_313-7885,190
IRIS_313-8291,202
IRIS_313-8314,207
IRIS_313-8324,222
IRIS_313-8368,207
IRIS_313-8436,196
IRIS_313-8457,266
IRIS_313-8493,259
IRIS_313-8536,184
IRIS_313-8608,NA
IRIS_313-8643,175
IRIS_313-8664,198
IRIS_313-8713,NA
IRIS_313-8725,251
IRIS_313-8744,207
IRIS_313-8767,202
IRIS_313-8812,172
IRIS_313-8831,231
IRIS_313-8833,151
IRIS_313-8865,253
IRIS_313-8922,248
IRIS_313-8956,222
IRIS_313-8978,247
IRIS_313-8998,208
IRIS_313-9005,222
IRIS_313-9054,200
IRIS_313-9097,239
IRIS_313-9098,304
IRIS_313-9117,204
IRIS_313-9129,222
IRIS_313-9188,265
IRIS_313-9208,199
IRIS_313-9239,232
IRIS_313-9242,175
IRIS_313-9251,184
IRIS_313-9273,222
IRIS_313-9301,155
IRIS_313-9310,304
IRIS_313-9314,177
IRIS_313-9320,222
IRIS_313-9405,190
IRIS_313-9470,198
IRIS_313-9590,141
IRIS_313-9691,NA
IRGC_12731,184
IRGC_14779,184
IRGC_40252,184
IRGC_410,184
IRGC_8191,184
IRGC_8257,184
IRIS_313-10071,184
IRIS_313-10073,184
IRIS_313-10074,184
IRIS_313-10075,184
IRIS_313-10076,184
IRIS_313-10077,184
IRIS_313-10078,184
IRIS_313-10079,184
IRIS_313-10080,184
IRIS_313-10082,184
IRIS_313-10469,184
IRIS_313-10569,184
IRIS_313-10642,184
IRIS_313-11725,184
IRIS_313-8755,184
IRIS_313-9002,184
IRIS_313-9081,184
IRIS_313-9800,184
IRIS_313-9884,184
IRIS_313-10651,NA
IRIS_313-10652,NA
IRIS_313-10653,202
IRIS_313-10654,NA
IRIS_313-10655,163
IRIS_313-10656,163
IRIS_313-10657,151
IRIS_313-10659,151
IRIS_313-10660,151
IRIS_313-10679,188
IRIS_313-10680,229
IRIS_313-10681,110
IRIS_313-10682,164
IRIS_313-10683,144
IRIS_313-10921,NA
IRIS_313-11071,178
IRIS_313-11072,169
IRIS_313-11073,205
IRIS_313-11074,NA
IRIS_313-11075,NA
IRIS_313-11076,168
IRIS_313-11077,169
IRIS_313-11078,174
IRIS_313-11079,169
IRIS_313-11080,NA
IRIS_313-11081,169
IRIS_313-11082,169
IRIS_313-11083,151
IRIS_313-11085,199
IRIS_313-11086,NA
IRIS_313-11090,NA
IRIS_313-11091,151
IRIS_313-11092,178
IRIS_313-11093,178
IRIS_313-11094,NA
IRIS_313-11095,151
IRIS_313-11991,202
IRIS_313-11992,194
IRIS_313-12028,202
IRIS_313-12029,NA
IRIS_313-12049,146
IRIS_313-12071,169
IRIS_313-12076,162
IRIS_313-12077,205
IRIS_313-12121,196
IRIS_313-12127,144
IRIS_313-12128,144
IRIS_313-12129,NA
IRIS_313-12130,191
IRIS_313-12131,129
IRIS_313-12133,159
IRIS_313-12134,196
IRIS_313-12190,191
IRIS_313-12193,NA
IRIS_313-12194,196
IRIS_313-12207,191
IRIS_313-12220,127
IRIS_313-12221,127
IRIS_313-12222,144
IRIS_313-12224,127
IRIS_313-12225,159
IRIS_313-12226,194
IRIS_313-12227,144
IRIS_313-12228,178
IRIS_313-12229,194
IRIS_313-12231,127
IRIS_313-12242,225
IRIS_313-12252,186
IRIS_313-12254,186
IRIS_313-12257,192
IRIS_313-12258,191
IRIS_313-12259,195
IRIS_313-12260,159
IRIS_313-12261,171
IRIS_313-12262,192
IRIS_313-12263,172
IRIS_313-12265,186
IRIS_313-12297,171
IRIS_313-12299,138
IRIS_313-12300,211
IRIS_313-12301,225
IRIS_313-12302,223
IRIS_313-12303,NA
IRIS_313-12305,148
IRIS_313-12307,197
IRIS_313-12308,159
IRIS_313-12309,151
IRIS_313-12311,191
IRIS_313-12312,204
IRIS_313-12313,171
IRIS_313-12321,157
IRIS_313-12329,149
IRIS_313-12332,173
IRIS_313-12334,159
