,barley_PC1,barley_PC2,barley_PC3,barley_ph,barley_cec,barley_ph,barley_am_rel_abundance_colonization,barley_am_roots_colonized,barley_soilN
BRIDGE_HOR_3956,0.299620731,3.159379709,-1.787119389,52,283,52,0.642683983,0.138856202,994
BRIDGE_HOR_10937,-0.339857997,1.17223806,-2.450725923,63,308,63,0.523103118,0.109013602,646
BRIDGE_HOR_9857,-0.598537616,2.547078998,-2.289280001,53,316,53,0.61393708,0.259354115,872
BRIDGE_HOR_9858,-0.598537616,2.547078998,-2.289280001,53,316,53,0.61393708,0.259354115,872
BRIDGE_HOR_10939,-0.957278363,0.847326635,-2.572037885,74,272,74,NA,NA,457
BRIDGE_HOR_10940,-0.957278363,0.847326635,-2.572037885,74,272,74,NA,NA,457
BRIDGE_HOR_10941,-0.957278363,0.847326635,-2.572037885,74,272,74,NA,NA,457
BRIDGE_HOR_10942,-0.957278363,0.847326635,-2.572037885,74,272,74,NA,NA,457
BRIDGE_HOR_10992,-0.957278363,0.847326635,-2.572037885,74,272,74,NA,NA,457
BRIDGE_HOR_10945,-1.226243051,0.18046528,-2.141973439,78,241,78,NA,NA,422
BRIDGE_HOR_10950,-1.226243051,0.18046528,-2.141973439,78,241,78,NA,NA,422
BRIDGE_HOR_11107,-1.226243051,0.18046528,-2.141973439,78,241,78,NA,NA,422
BRIDGE_HOR_11108,-1.226243051,0.18046528,-2.141973439,78,241,78,NA,NA,422
BRIDGE_HOR_3950,0.093195067,4.667312248,-2.5623551,53,354,53,0.646012485,0.201674193,797
BRIDGE_HOR_3961,-0.412190853,3.657084032,-1.961610515,57,314,57,0.595708787,0.192325905,1084
BRIDGE_HOR_9848,-0.855074302,3.248154443,-2.506955152,53,337,53,0.61393708,0.259354115,872
BRIDGE_HOR_9850,-0.855074302,3.248154443,-2.506955152,53,337,53,0.61393708,0.259354115,872
BRIDGE_HOR_9851,-0.855074302,3.248154443,-2.506955152,53,337,53,0.61393708,0.259354115,872
BRIDGE_HOR_10936,-0.354604112,1.30510852,-2.2560672,70,295,70,0.523103118,0.109013602,406
BRIDGE_HOR_11012,-0.354604112,1.30510852,-2.2560672,70,295,70,0.523103118,0.109013602,406
BRIDGE_BCC_1590,-0.354604112,1.30510852,-2.2560672,70,295,70,0.523103118,0.109013602,406
BRIDGE_HOR_10553,-1.924444131,-1.791048477,-0.624706286,70,211,70,NA,NA,273
BRIDGE_HOR_8702,-1.846764177,-1.616717721,-0.95224738,75,202,75,NA,NA,258
BRIDGE_HOR_3951,-0.034794513,4.223986536,-2.139353791,51,357,51,0.61393708,0.259354115,760
BRIDGE_HOR_3957,-0.080468636,5.096045904,-2.673541562,55,336,55,0.646012485,0.201674193,900
BRIDGE_HOR_3958,-0.080468636,5.096045904,-2.673541562,53,356,53,0.646012485,0.201674193,812
BRIDGE_HOR_9855,-0.430481854,2.357495954,-2.876742854,53,401,53,NA,NA,712
BRIDGE_HOR_9856,-0.430481854,2.357495954,-2.876742854,53,401,53,NA,NA,712
BRIDGE_HOR_10552,-1.919453814,-1.953270441,-0.443571498,75,218,75,NA,NA,253
BRIDGE_HOR_10638,-1.919453814,-1.953270441,-0.443571498,75,218,75,NA,NA,253
BRIDGE_HOR_9712,-1.835485026,-0.369090793,-1.763243945,73,263,73,NA,NA,288
BRIDGE_HOR_13488_A,-2.963047686,-0.466293252,-1.209611578,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_22164,-2.963047686,-0.466293252,-1.209611578,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_9711,-1.274953974,0.045144143,-2.320659995,72,271,72,0.523103118,0.109013602,381
BRIDGE_HOR_10630,0.217111017,2.207450007,-2.100685673,61,313,61,0.61393708,0.259354115,753
BRIDGE_HOR_3953,0.215838987,3.532770048,-1.878734599,53,274,53,0.646012485,0.201674193,871
BRIDGE_HOR_10094,0.290915352,2.628156644,-2.158103618,56,317,56,0.646012485,0.201674193,826
BRIDGE_HOR_9852,0.290915352,2.628156644,-2.158103618,56,317,56,0.646012485,0.201674193,826
BRIDGE_HOR_9853,0.290915352,2.628156644,-2.158103618,56,317,56,0.646012485,0.201674193,826
BRIDGE_HOR_9854,0.290915352,2.628156644,-2.158103618,56,317,56,0.646012485,0.201674193,826
BRIDGE_HOR_9256,-1.360626104,-0.691344106,-1.884434963,70,244,70,NA,NA,423
BRIDGE_HOR_9265,-1.360626104,-0.691344106,-1.884434963,70,244,70,NA,NA,423
BRIDGE_HOR_9462,-1.360626104,-0.691344106,-1.884434963,70,244,70,NA,NA,423
BRIDGE_HOR_13487,-2.997237018,-1.609245204,-1.023813938,69,221,69,NA,NA,357
BRIDGE_HOR_13486,-2.997237018,-1.609245204,-1.023813938,69,236,69,NA,NA,343
BRIDGE_HOR_9264,-1.094624564,-0.686669616,-2.20102109,71,239,71,NA,NA,376
BRIDGE_HOR_9308,-1.094624564,-0.686669616,-2.20102109,71,239,71,NA,NA,376
BRIDGE_HOR_9309,-1.094624564,-0.686669616,-2.20102109,71,239,71,NA,NA,376
BRIDGE_HOR_9257,-1.135101582,-0.719560642,-1.96258737,70,278,70,NA,NA,460
BRIDGE_HOR_9267,-1.135101582,-0.719560642,-1.96258737,70,278,70,NA,NA,460
BRIDGE_HOR_10411,-1.04900692,-0.830766839,-2.047013118,72,254,72,NA,NA,350
BRIDGE_HOR_10412,-1.04900692,-0.830766839,-2.047013118,72,254,72,NA,NA,350
BRIDGE_HOR_9268,-1.04900692,-0.830766839,-2.047013118,72,254,72,NA,NA,350
BRIDGE_HOR_9269,-1.04900692,-0.830766839,-2.047013118,72,254,72,NA,NA,350
BRIDGE_HOR_9273,-1.135101582,-0.719560642,-1.96258737,73,267,73,NA,NA,363
BRIDGE_HOR_9310,-1.04900692,-0.830766839,-2.047013118,72,254,72,NA,NA,350
BRIDGE_HOR_1999,-2.266844793,-2.3802018,0.173943365,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_4280,-2.266844793,-2.3802018,0.173943365,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_9258,-1.04900692,-0.830766839,-2.047013118,69,262,69,NA,NA,526
BRIDGE_HOR_9270,-1.04900692,-0.830766839,-2.047013118,69,262,69,NA,NA,526
BRIDGE_HOR_13158,-1.077119287,2.663393897,-3.253369658,59,304,59,NA,NA,776
BRIDGE_HOR_9274,-1.051221883,-0.76708781,-1.970335333,73,241,73,0.523103118,0.109013602,398
BRIDGE_HOR_13159,-1.077119287,2.663393897,-3.253369658,60,276,60,NA,NA,692
BRIDGE_HOR_9704,-1.193877373,-0.410959622,-1.998479052,70,268,70,NA,NA,455
BRIDGE_HOR_9705,-1.193877373,-0.410959622,-1.998479052,70,268,70,NA,NA,455
BRIDGE_HOR_2285,-2.332609595,-1.367890503,-1.104330358,71,218,71,NA,NA,358
BRIDGE_HOR_4579,-2.332609595,-1.367890503,-1.104330358,71,218,71,NA,NA,358
BRIDGE_HOR_2000,-2.710176246,-0.879612563,-1.459366473,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_2001,-2.332609595,-1.367890503,-1.104330358,67,234,67,NA,NA,397
BRIDGE_HOR_2004,-2.332609595,-1.367890503,-1.104330358,67,234,67,NA,NA,397
BRIDGE_HOR_9859,0.063400324,2.522812148,-1.541706241,53,293,53,0.646012485,0.201674193,718
BRIDGE_HOR_10028,-0.893585592,-0.088374323,-2.3311719,73,264,73,0.523103118,0.109013602,357
BRIDGE_HOR_10059,-0.893585592,-0.088374323,-2.3311719,73,264,73,0.523103118,0.109013602,357
BRIDGE_HOR_11478,-1.236483552,-0.807545952,-1.803112643,77,246,77,NA,NA,343
BRIDGE_HOR_10952,-0.013441305,3.10132958,-1.8354402,52,324,52,0.646012485,0.201674193,911
BRIDGE_HOR_11479,-1.154658968,-0.504943202,-2.039103756,77,270,77,NA,NA,348
BRIDGE_HOR_12791,-1.154658968,-0.504943202,-2.039103756,77,270,77,NA,NA,348
BRIDGE_HOR_9261,-1.259049847,-1.63014027,-1.689002063,70,252,70,0.449428082,0.207930595,372
BRIDGE_HOR_10044,-1.278396578,-0.46262828,-2.015632251,73,267,73,0.523103118,0.109013602,407
BRIDGE_HOR_12822,-1.200324169,-0.988933533,-1.769700751,65,259,65,NA,NA,538
